# M_Msun R_km
2.242903716595097408e-01 1.000000009999483552e+02
2.237623254039310394e-01 1.000000009999483552e+02
2.232242936262589239e-01 1.000000009999483552e+02
2.226558205990363248e-01 1.000000009999483552e+02
2.220738764036989388e-01 1.000000009999483552e+02
2.214770484871966816e-01 1.000000009999483552e+02
2.208444743021301948e-01 1.000000009999483552e+02
2.201935056540970936e-01 1.000000009999483552e+02
2.195159836663432840e-01 1.000000009999483552e+02
2.188103011851846302e-01 1.000000009999483552e+02
2.180681867696600829e-01 1.000000009999483552e+02
2.172944122348252072e-01 1.000000009999483552e+02
2.164838408752766674e-01 1.000000009999483552e+02
2.156313042635394917e-01 1.000000009999483552e+02
2.147489689626372322e-01 1.000000009999483552e+02
2.138214174778520216e-01 1.000000009999483552e+02
2.128503326218914860e-01 1.000000009999483552e+02
2.118304287110348294e-01 1.000000009999483552e+02
2.107597553567284454e-01 1.000000009999483552e+02
2.096437466702872898e-01 1.000000009999483552e+02
2.084660205363485508e-01 1.000000009999483552e+02
2.072470551198008493e-01 1.000000009999483552e+02
2.059592172111248953e-01 1.000000009999483552e+02
2.046121270713582296e-01 1.000000009999483552e+02
2.032080808682468764e-01 1.000000009999483552e+02
2.017337649791228482e-01 1.000000009999483552e+02
2.001954369486224905e-01 1.000000009999483552e+02
1.985919196930579222e-01 1.000000009999483552e+02
1.969136105533043635e-01 1.000000009999483552e+02
1.951673479725980487e-01 1.000000009999483552e+02
1.933390739357471466e-01 1.000000009999483552e+02
1.914402942003912422e-01 1.000000009999483552e+02
1.894569140184490241e-01 1.000000009999483552e+02
1.873920294187986224e-01 1.000000009999483552e+02
1.852445224895040155e-01 1.000000009999483552e+02
1.830228596657821061e-01 1.000000009999483552e+02
1.806979822537240210e-01 1.000000009999483552e+02
1.782976893540567653e-01 1.000000009999483552e+02
1.758123260395032805e-01 1.000000009999483552e+02
1.732316805767797896e-01 1.000000009999483552e+02
1.705659766341042771e-01 1.000000009999483552e+02
1.678105322095105878e-01 1.000000009999483552e+02
1.649801105877412022e-01 1.000000009999483552e+02
1.620667822188686658e-01 1.000000009999483552e+02
1.590847666126797566e-01 1.000000009999483552e+02
1.560328177848349374e-01 1.000000009999483552e+02
1.529101172254566099e-01 1.000000009999483552e+02
1.497164110908840717e-01 1.000000009999483552e+02
1.464869851399591416e-01 1.000000009999483552e+02
1.431946985814633311e-01 1.000000009999483552e+02
1.398712097784210184e-01 1.000000009999483552e+02
1.365107796846585508e-01 1.000000009999483552e+02
1.331157195942207216e-01 1.000000009999483552e+02
