# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3 Yp
3.666666666666666685e-02 3.454301128753722594e+01 3.111636893347110439e-02 4.135017555138628155e-03
3.733333333333332948e-02 3.517164760612129015e+01 3.288279835390409134e-02 4.251386451659833893e-03
3.799999999999999906e-02 3.580031633439345740e+01 3.474708123469370108e-02 4.369118381537951366e-03
3.866666666666666863e-02 3.642901864337736129e+01 3.671182055521905047e-02 4.488202532673605909e-03
3.933333333333333126e-02 3.705775570819680098e+01 3.877957250580323784e-02 4.608627601535938804e-03
4.000000000000000083e-02 3.768652870706451807e+01 4.095284542877339340e-02 4.730381792202326824e-03
4.066666666666667040e-02 3.831533882032264415e+01 4.323409885009323744e-02 4.853452815752110246e-03
4.133333333333333304e-02 3.894418722952911338e+01 4.562574254205828406e-02 4.977827890136985595e-03
4.199999999999999567e-02 3.957307511658987664e+01 4.813013562229260384e-02 5.103493740494333998e-03
4.266666666666666524e-02 4.020200366293023819e+01 5.074958569113247053e-02 5.230436599902297742e-03
4.333333333333333481e-02 4.083097404870676428e+01 5.348634800220363611e-02 5.358642210562813979e-03
4.399999999999999745e-02 4.145998745205339020e+01 5.634262466919614382e-02 5.488095825411164023e-03
4.466666666666666702e-02 4.208904504836318239e+01 5.932056390397262569e-02 5.618782210142992534e-03
4.533333333333333659e-02 4.271814800960038383e+01 6.242225928858376183e-02 5.750685645651842058e-03
4.599999999999999922e-02 4.334729750364324730e+01 6.564974907778013680e-02 5.883789930872096799e-03
4.666666666666666186e-02 4.397649469365487818e+01 6.900501553298392377e-02 6.018078386020498174e-03
4.733333333333333143e-02 4.460574073748085766e+01 7.248998428612025979e-02 6.153533856229542222e-03
4.800000000000000100e-02 4.523503678707214704e+01 7.610652373265440473e-02 6.290138715566512100e-03
4.866666666666666363e-02 4.586438398793116278e+01 7.985644445522260826e-02 6.427874871431787929e-03
4.933333333333333320e-02 4.649378347858125693e+01 8.374149867449261209e-02 6.566723769330373717e-03
5.000000000000000278e-02 4.712323639005747822e+01 8.776337972848059776e-02 6.706666398008126473e-03
5.066666666666666541e-02 4.775274384541758366e+01 9.192372158036836438e-02 6.847683294947474672e-03
5.133333333333332804e-02 4.838230695927245506e+01 9.622409835330021644e-02 6.989754552215916156e-03
5.200000000000000455e-02 4.901192683733520283e+01 1.006660238925611434e-01 7.132859822657483875e-03
5.266666666666666718e-02 4.964160457598777754e+01 1.052509513544632319e-01 7.276978326423095937e-03
5.333333333333332982e-02 5.027134126186491869e+01 1.099802728218776532e-01 7.422088857828634811e-03
5.399999999999999245e-02 5.090113797145369290e+01 1.148553189462667157e-01 7.568169792536552469e-03
5.466666666666666896e-02 5.153099577070880599e+01 1.198773586157511062e-01 7.715199095049880135e-03
5.533333333333333159e-02 5.216091571468308530e+01 1.250475986486498381e-01 7.863154326511911929e-03
5.599999999999999423e-02 5.279089884717141246e+01 1.303671835136910317e-01 8.012012652802184484e-03
5.666666666666667074e-02 5.342094620036954211e+01 1.358371950741030787e-01 8.161750852922582122e-03
5.733333333333333337e-02 5.405105879454521300e+01 1.414586523584519528e-01 8.312345327658980307e-03
5.799999999999999600e-02 5.468123763772249646e+01 1.472325113555207621e-01 8.463772108517033516e-03
5.866666666666667251e-02 5.531148372537843727e+01 1.531596648340647349e-01 8.616006866915174034e-03
5.933333333333333515e-02 5.594179804015068669e+01 1.592409421885579990e-01 8.769024923631862228e-03
5.999999999999999778e-02 5.657218155155870676e+01 1.654771093065850740e-01 8.922801258491338747e-03
6.066666666666666041e-02 5.720263521573399856e+01 1.718688684633233321e-01 9.077310520284443893e-03
6.133333333333333692e-02 5.783315997516168494e+01 1.784168582385424195e-01 9.232527036907800522e-03
6.199999999999999956e-02 5.846375675843352582e+01 1.851216534576416439e-01 9.388424825717693253e-03
6.266666666666666219e-02 5.909442648000979403e+01 1.919837651564830772e-01 9.544977604082153719e-03
6.333333333333333870e-02 5.972517003999176666e+01 1.990036405697588329e-01 9.702158800126967075e-03
6.400000000000000133e-02 6.035598832390349600e+01 2.061816631420730073e-01 9.859941563659409616e-03
6.466666666666666397e-02 6.098688220248330794e+01 2.135181525625697851e-01 1.001829877726358176e-02
6.533333333333332660e-02 6.161785253148364205e+01 2.210133648222948888e-01 1.017720306755399463e-02
6.600000000000000311e-02 6.224890015148051958e+01 2.286674922936012821e-01 1.033662681657716333e-02
6.666666666666666574e-02 6.288002588769113999e+01 2.364806638328355026e-01 1.049654217335229886e-02
6.733333333333332837e-02 6.351123054980031668e+01 2.444529449039632707e-01 1.065692106553639724e-02
6.800000000000000488e-02 6.414251493179430952e+01 2.525843377256369870e-01 1.081773521120754124e-02
6.866666666666666752e-02 6.477387981180410748e+01 2.608747814378973851e-01 1.097895613075181714e-02
6.933333333333333015e-02 6.540532595195487886e+01 2.693241522925007292e-01 1.114055515884395525e-02
6.999999999999999278e-02 6.603685409822467989e+01 2.779322638625850161e-01 1.130250345651327704e-02
7.066666666666666929e-02 6.666846498030949419e+01 2.866988672744530398e-01 1.146477202328058907e-02
7.133333333333333193e-02 6.730015931149627306e+01 2.956236514592125442e-01 1.162733170935698231e-02
7.199999999999999456e-02 6.793193778854265474e+01 3.047062434259683039e-01 1.179015322789477710e-02
7.266666666666667107e-02 6.856380109156467029e+01 3.139462085535173475e-01 1.195320716727808069e-02
7.333333333333333370e-02 6.919574988393027581e+01 3.233430509034742051e-01 1.211646400344446040e-02
7.399999999999999634e-02 6.982778481216035971e+01 3.328962135523625410e-01 1.227989411222510027e-02
7.466666666666665897e-02 7.045990650583632942e+01 3.426050789427980692e-01 1.244346778169584840e-02
7.533333333333333548e-02 7.109211557751375210e+01 3.524689692547254838e-01 1.260715522452669594e-02
7.599999999999999811e-02 7.172441262264310069e+01 3.624871467946252923e-01 1.277092659032078720e-02
7.666666666666666075e-02 7.235679821949645429e+01 3.726588144029470140e-01 1.293475197793349414e-02
7.733333333333333726e-02 7.298927292910003928e+01 3.829831158818452486e-01 1.309860144776078990e-02
7.799999999999999989e-02 7.362183729517347786e+01 3.934591364383158152e-01 1.326244503398835324e-02
7.866666666666666252e-02 7.425449184407457892e+01 4.040859031468893026e-01 1.342625275679311392e-02
7.933333333333332515e-02 7.488723708475025376e+01 4.148623854289266166e-01 1.358999463448324480e-02
8.000000000000000167e-02 7.552007350869278923e+01 4.257874955497575886e-01 1.375364069557590344e-02
8.066666666666666430e-02 7.615300158990223167e+01 4.368600891320670865e-01 1.391716099079728410e-02
8.133333333333332693e-02 7.678602178485384400e+01 4.480789656865815651e-01 1.408052560499694489e-02
8.200000000000000344e-02 7.741913453247181565e+01 4.594428691585853430e-01 1.424370466897427988e-02
8.266666666666666607e-02 7.805234025410756260e+01 4.709504884904957001e-01 1.440666837120089909e-02
8.333333333333332871e-02 7.868563935352331384e+01 4.826004582015846478e-01 1.456938696943750611e-02
8.400000000000000522e-02 7.931903221688200745e+01 4.943913589808765496e-01 1.473183080223424563e-02
8.466666666666666785e-02 7.995251921274063989e+01 5.063217182979860009e-01 1.489397030030897157e-02
8.533333333333333048e-02 8.058610069205025184e+01 5.183900110267873895e-01 1.505577599779585676e-02
8.600000000000000699e-02 8.121977698815960878e+01 5.305946600855293571e-01 1.521721854335716072e-02
8.666666666666666963e-02 8.185354841682470806e+01 5.429340370901786228e-01 1.537826871115288707e-02
8.733333333333333226e-02 8.248741527622256342e+01 5.554064630230632904e-01 1.553889741166082812e-02
8.799999999999999489e-02 8.312137784696950860e+01 5.680102089151531919e-01 1.569907570234154934e-02
8.866666666666667140e-02 8.375543639214518521e+01 5.807434965415456674e-01 1.585877479814378280e-02
8.933333333333333404e-02 8.438959115731999816e+01 5.936044991312475760e-01 1.601796608184101120e-02
8.999999999999999667e-02 8.502384237058730321e+01 6.065913420903199516e-01 1.617662111420060944e-02
9.066666666666667318e-02 8.565819024260072467e+01 6.197021037372261176e-01 1.633471164397285597e-02
9.133333333333333581e-02 8.629263496661512534e+01 6.329348160515465560e-01 1.649220961770229282e-02
9.199999999999999845e-02 8.692717671853213801e+01 6.462874654354530124e-01 1.664908718935184315e-02
9.266666666666667496e-02 8.756181565694990354e+01 6.597579934871644625e-01 1.680531672973006874e-02
9.333333333333333759e-02 8.819655192321702941e+01 6.733442977863910439e-01 1.696087083576022780e-02
9.400000000000000022e-02 8.883138564149084004e+01 6.870442326921215592e-01 1.711572233949839109e-02
9.466666666666666285e-02 8.946631691879899506e+01 7.008556101521077331e-01 1.726984431698822681e-02
9.533333333333333937e-02 9.010134584510609557e+01 7.147762005230280380e-01 1.742321009690415631e-02
9.600000000000000200e-02 9.073647249338351628e+01 7.288037334028694136e-01 1.757579326898736985e-02
9.666666666666666463e-02 9.137169691968321672e+01 7.429358984740004335e-01 1.772756769227438328e-02
9.733333333333334114e-02 9.200701916321548879e+01 7.571703463564894987e-01 1.787850750321423252e-02
9.800000000000000377e-02 9.264243924643061234e+01 7.715046894739697736e-01 1.802858712306941794e-02
9.866666666666666641e-02 9.327795717510348084e+01 7.859365029272472603e-01 1.817778126611102607e-02
9.933333333333332904e-02 9.391357293842339971e+01 8.004633253794568581e-01 1.832606494658269372e-02
1.000000000000000056e-01 9.454928650908536270e+01 8.150826599526201921e-01 1.847341348596199390e-02
1.006666666666666682e-01 9.518509784338652935e+01 8.297919751320855797e-01 1.861980251989357391e-02
1.013333333333333308e-01 9.582100688132591415e+01 8.445887056812890759e-01 1.876520800490411728e-02
1.020000000000000073e-01 9.645701354670684680e+01 8.594702535663669707e-01 1.890960622489563231e-02
1.026666666666666700e-01 9.709311774724322675e+01 8.744339888899492763e-01 1.905297379741930849e-02
1.033333333333333326e-01 9.772931937466928787e+01 8.894772508340985651e-01 1.919528767972292563e-02
1.039999999999999952e-01 9.836561830485204894e+01 9.045973486124372354e-01 1.933652517458022899e-02
1.046666666666666717e-01 9.900201439790841107e+01 9.197915624295521786e-01 1.947666393589630660e-02
1.053333333333333344e-01 9.963850749832300835e+01 9.350571444525467291e-01 1.961568197408957923e-02
1.059999999999999970e-01 1.002750974350719417e+02 9.503913197867164264e-01 1.975355766125290458e-02
1.066666666666666735e-01 1.009117840217474509e+02 9.657912874630707467e-01 1.989026973609380605e-02
1.073333333333333361e-01 1.015485670566867498e+02 9.812542214323047851e-01 2.002579730865208102e-02
1.079999999999999988e-01 1.021854463231039034e+02 9.967772715664515726e-01 2.016011986479827531e-02
1.086666666666666614e-01 1.028224215892237936e+02 1.012357564669831289e+00 2.029321727051301358e-02
1.093333333333333379e-01 1.034594926084202626e+02 1.027992205495926070e+00 2.042506977594777881e-02
1.100000000000000006e-01 1.040966591193556354e+02 1.043678277773346652e+00 2.055565801926871258e-02
1.106666666666666632e-01 1.047339208461247182e+02 1.059412845237758916e+00 2.068496303028481004e-02
1.113333333333333397e-01 1.053712774984002749e+02 1.075192952671608193e+00 2.081296623386176201e-02
1.120000000000000023e-01 1.060087287715815876e+02 1.091015626951523876e+00 2.093964945312289452e-02
1.126666666666666650e-01 1.066462743469464982e+02 1.106877878100408052e+00 2.106499491243916250e-02
1.133333333333333276e-01 1.072839138918050708e+02 1.122776700348875334e+00 2.118898524021126800e-02
1.140000000000000041e-01 1.079216470596561805e+02 1.138709073201267907e+00 2.131160347144072861e-02
1.146666666666666667e-01 1.085594734903471164e+02 1.154671962508729166e+00 2.143283305009925296e-02
1.153333333333333294e-01 1.091973928102354421e+02 1.170662321548350704e+00 2.155265783129260704e-02
1.160000000000000059e-01 1.098354046323533453e+02 1.186677092108109566e+00 2.167106208322387359e-02
1.166666666666666685e-01 1.104735085565741173e+02 1.202713205578319844e+00 2.178803048895682978e-02
1.173333333333333311e-01 1.111117041697820440e+02 1.218767584047315999e+00 2.190354814798322128e-02
1.179999999999999938e-01 1.117499910460436752e+02 1.234837141404424798e+00 2.201760057759617750e-02
1.186666666666666703e-01 1.123883687467820351e+02 1.250918784446479970e+00 2.213017371406892850e-02
1.193333333333333329e-01 1.130268368209528234e+02 1.267009413990966671e+00 2.224125391364118950e-02
1.199999999999999956e-01 1.136653948052234142e+02 1.283105925992273244e+00 2.235082795334619385e-02
1.206666666666666721e-01 1.143040422241533633e+02 1.299205212689094946e+00 2.245888303155925761e-02
1.213333333333333347e-01 1.149427785903778414e+02 1.315304163639716917e+00 2.256540676854240646e-02
1.219999999999999973e-01 1.155816034047927587e+02 1.331399666980667362e+00 2.267038720662174767e-02
1.226666666666666738e-01 1.162205161567421641e+02 1.347488610481830662e+00 2.277381281029665014e-02
1.233333333333333365e-01 1.168595163242080588e+02 1.363567882703776046e+00 2.287567246614332847e-02
1.239999999999999991e-01 1.174986033740016182e+02 1.379634374141342379e+00 2.297595548255161255e-02
1.246666666666666617e-01 1.181377767619571699e+02 1.395684978369330809e+00 2.307465158929367446e-02
1.253333333333333244e-01 1.187770359331278627e+02 1.411716593191656210e+00 2.317175093692653079e-02
1.260000000000000009e-01 1.194163803219828992e+02 1.427726121795264369e+00 2.326724409603337512e-02
1.266666666666666496e-01 1.200558093526073833e+02 1.443710473904453284e+00 2.336112205630343219e-02
1.273333333333333262e-01 1.206953224389034034e+02 1.459666566939760823e+00 2.345337622545662359e-02
1.280000000000000027e-01 1.213349189847940721e+02 1.475591327177982359e+00 2.354399842801357251e-02
1.286666666666666514e-01 1.219745983844274093e+02 1.491481690915661185e+00 2.363298090391672407e-02
1.293333333333333279e-01 1.226143600223845027e+02 1.507334605632657976e+00 2.372031630699883431e-02
1.300000000000000044e-01 1.232542032738871711e+02 1.523147031160144715e+00 2.380599770331210535e-02
1.306666666666666532e-01 1.238941275050083988e+02 1.538915940847210617e+00 2.389001856931156215e-02
1.313333333333333297e-01 1.245341320728848586e+02 1.554638322730412359e+00 2.397237278990108772e-02
1.320000000000000062e-01 1.251742163259298906e+02 1.570311180703894083e+00 2.405305465634212728e-02
1.326666666666666550e-01 1.258143796040492504e+02 1.585931535689481642e+00 2.413205886403039374e-02
1.333333333333333315e-01 1.264546212388574986e+02 1.601496426808577622e+00 2.420938051014114717e-02
1.339999999999999802e-01 1.270949405538963646e+02 1.617002912553187732e+00 2.428501509114938325e-02
1.346666666666666567e-01 1.277353368648545597e+02 1.632448071956453139e+00 2.435895850022204434e-02
1.353333333333333333e-01 1.283758094797890976e+02 1.647829005764635868e+00 2.443120702449330661e-02
1.359999999999999820e-01 1.290163576993477648e+02 1.663142837605733337e+00 2.450175734221891888e-02
1.366666666666666585e-01 1.296569808169933538e+02 1.678386715159158049e+00 2.457060651981398183e-02
1.373333333333333350e-01 1.302976781192283511e+02 1.693557811324269302e+00 2.463775200878242158e-02
1.379999999999999838e-01 1.309384488858223392e+02 1.708653325385436572e+00 2.470319164253144753e-02
1.386666666666666603e-01 1.315792923900395692e+02 1.723670484177026951e+00 2.476692363308473366e-02
1.393333333333333368e-01 1.322202078988677840e+02 1.738606543245243774e+00 2.482894656768727323e-02
1.399999999999999856e-01 1.328611946732488320e+02 1.753458788008509961e+00 2.488925940531243677e-02
1.406666666666666621e-01 1.335022519683095652e+02 1.768224534913996671e+00 2.494786147306958524e-02
1.413333333333333386e-01 1.341433790335950391e+02 1.782901132591327098e+00 2.500475246251681813e-02
1.419999999999999873e-01 1.347845751133011731e+02 1.797485963003262022e+00 2.505993242588172229e-02
1.426666666666666639e-01 1.354258394465099684e+02 1.811976442592804215e+00 2.511340177219195668e-02
1.433333333333333126e-01 1.360671712674244986e+02 1.826370023425218925e+00 2.516516126332071085e-02
1.439999999999999891e-01 1.367085698056060039e+02 1.840664194326512071e+00 2.521521200994598227e-02
1.446666666666666656e-01 1.373500342862099615e+02 1.854856482017697816e+00 2.526355546743125347e-02
1.453333333333333144e-01 1.379915639302255954e+02 1.868944452242287113e+00 2.531019343162602478e-02
1.459999999999999909e-01 1.386331579547139086e+02 1.882925710890498650e+00 2.535512803459322173e-02
1.466666666666666397e-01 1.392748155730477606e+02 1.896797905116162530e+00 2.539836174026039936e-02
1.473333333333333162e-01 1.399165359951519179e+02 1.910558724448765844e+00 2.543989734000356648e-02
1.479999999999999927e-01 1.405583184277446094e+02 1.924205901898035975e+00 2.547973794816364365e-02
1.486666666666666414e-01 1.412001620745784010e+02 1.937737215053038309e+00 2.551788699749699824e-02
1.493333333333333179e-01 1.418420661366833144e+02 1.951150487173084924e+00 2.555434823456469162e-02
1.499999999999999944e-01 1.424840298126094922e+02 1.964443588271787888e+00 2.558912571506297487e-02
1.506666666666666432e-01 1.431260522986692934e+02 1.977614436194316649e+00 2.562222379909600417e-02
1.513333333333333197e-01 1.437681327891827721e+02 1.990660997684502664e+00 2.565364714639560562e-02
1.519999999999999962e-01 1.444102704767204557e+02 2.003581289445593328e+00 2.568340071148903989e-02
1.526666666666666450e-01 1.450524645523483116e+02 2.016373379191616966e+00 2.571148973881843755e-02
1.533333333333333215e-01 1.456947142058724580e+02 2.029035386688956333e+00 2.573791975781266131e-02
1.539999999999999980e-01 1.463370186260839603e+02 2.041565484790039520e+00 2.576269657791826692e-02
1.546666666666666468e-01 1.469793770010041953e+02 2.053961900456078293e+00 2.578582628358586440e-02
1.553333333333333233e-01 1.476217885181303302e+02 2.066222915770053348e+00 2.580731522922005347e-02
1.559999999999999720e-01 1.482642523646806865e+02 2.078346868940075698e+00 2.582717003409310680e-02
1.566666666666666485e-01 1.489067677278402186e+02 2.090332155291046323e+00 2.584539757722354933e-02
1.573333333333333250e-01 1.495493337950060777e+02 2.102177228246493002e+00 2.586200499222558735e-02
1.579999999999999738e-01 1.501919497540332884e+02 2.113880600297782131e+00 2.587699966212732641e-02
1.586666666666666503e-01 1.508346147934801706e+02 2.125440843962941528e+00 2.589038921416424860e-02
1.593333333333333268e-01 1.514773281028536758e+02 2.136856592732641502e+00 2.590218151455030149e-02
1.599999999999999756e-01 1.521200888728542395e+02 2.148126542005082573e+00 2.591238466322190806e-02
1.606666666666666521e-01 1.527628962956216014e+02 2.159249450006777593e+00 2.592100698856941027e-02
1.613333333333333286e-01 1.534057495649782084e+02 2.170224138702572692e+00 2.592805704214650245e-02
1.619999999999999774e-01 1.540486478766748064e+02 2.181049494690358692e+00 2.593354359336851392e-02
1.626666666666666539e-01 1.546915904286339298e+02 2.191724470084418286e+00 2.593747562419487784e-02
1.633333333333333304e-01 1.553345764211929634e+02 2.202248083384702682e+00 2.593986232380620163e-02
1.639999999999999791e-01 1.559776050573481427e+02 2.212619420330546482e+00 2.594071308326853162e-02
1.646666666666666556e-01 1.566206755429971622e+02 2.222837634742423241e+00 2.594003749019621607e-02
1.653333333333333321e-01 1.572637870871803045e+02 2.232901949349129556e+00 2.593784532340823179e-02
1.659999999999999809e-01 1.579069389023228211e+02 2.242811656598558301e+00 2.593414654758619334e-02
1.666666666666666574e-01 1.585501302044754084e+02 2.252566119455521765e+00 2.592895130793128680e-02
1.673333333333333062e-01 1.591933602135545698e+02 2.262164772183425043e+00 2.592226992482410050e-02
