# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3
3.799999999999999906e-02 3.581928085916673865e+01 5.717422717504185015e-02
3.866666666666666863e-02 3.644871608700413645e+01 5.991380756705445149e-02
3.933333333333333126e-02 3.707819947708127728e+01 6.276169751073154557e-02
4.000000000000000083e-02 3.770773206417885604e+01 6.571969438904104455e-02
4.066666666666667040e-02 3.833731487801454563e+01 6.878953206450798274e-02
4.133333333333333304e-02 3.896694894244813412e+01 7.197288057407155715e-02
4.199999999999999567e-02 3.959663527473338007e+01 7.527134587079781225e-02
4.266666666666666524e-02 4.022637488481291967e+01 7.868646961093936354e-02
4.333333333333333481e-02 4.085616877465592012e+01 8.221972898130983087e-02
4.399999999999999745e-02 4.148601793763183565e+01 8.587253657053706135e-02
4.466666666666666702e-02 4.211592335792267505e+01 8.964624027650486271e-02
4.533333333333333659e-02 4.274588600996796117e+01 9.354212325355425184e-02
4.599999999999999922e-02 4.337590685794199885e+01 9.756140389488784925e-02
4.666666666666666186e-02 4.400598685526204434e+01 1.017052358495487557e-01
4.733333333333333143e-02 4.463612694412448434e+01 1.059747080733116076e-01
4.800000000000000100e-02 4.526632805506811508e+01 1.103708449117482282e-01
4.866666666666666363e-02 4.589659110656323548e+01 1.148946062140445423e-01
4.933333333333333320e-02 4.652691700462536062e+01 1.195468874762890543e-01
5.000000000000000278e-02 4.715730664245121062e+01 1.243285200143334768e-01
5.066666666666666541e-02 4.778776090007712440e+01 1.292402711635602941e-01
5.133333333333332804e-02 4.841828064405788012e+01 1.342828445060014475e-01
5.200000000000000455e-02 4.904886672716615692e+01 1.394568801221296450e-01
5.266666666666666718e-02 4.967951998810949021e+01 1.447629548684325473e-01
5.333333333333332982e-02 5.031024125126646851e+01 1.502015826781537555e-01
5.399999999999999245e-02 5.094103132643908083e+01 1.557732148852850607e-01
5.466666666666666896e-02 5.157189100862238718e+01 1.614782405700868617e-01
5.533333333333333159e-02 5.220282107778835012e+01 1.673169869270416110e-01
5.599999999999999423e-02 5.283382229868654179e+01 1.732897196516186566e-01
5.666666666666667074e-02 5.346489542065733502e+01 1.793966433480838896e-01
5.733333333333333337e-02 5.409604117745978868e+01 1.856379019555880749e-01
5.799999999999999600e-02 5.472726028711208102e+01 1.920135791926276814e-01
5.866666666666667251e-02 5.535855345174511655e+01 1.985236990187457529e-01
5.933333333333333515e-02 5.598992135746737375e+01 2.051682261132850293e-01
5.999999999999999778e-02 5.662136467424187458e+01 2.119470663702937574e-01
6.066666666666666041e-02 5.725288405577376238e+01 2.188600674086087494e-01
6.133333333333333692e-02 5.788448013940904247e+01 2.259070190971014247e-01
6.199999999999999956e-02 5.851615354604302155e+01 2.330876540937907304e-01
6.266666666666666219e-02 5.914790488003899327e+01 2.404016483988828112e-01
6.333333333333333870e-02 5.977973472915545017e+01 2.478486219213875130e-01
6.400000000000000133e-02 6.041164366448390410e+01 2.554281390566944809e-01
6.466666666666666397e-02 6.104363224039393998e+01 2.631397092781321279e-01
6.533333333333332660e-02 6.167570099448725784e+01 2.709827877386582484e-01
6.600000000000000311e-02 6.230785044756035518e+01 2.789567758835537203e-01
6.666666666666666574e-02 6.294008110357367514e+01 2.870610220746303010e-01
6.733333333333332837e-02 6.357239344962928129e+01 2.952948222237017362e-01
6.800000000000000488e-02 6.420478795595559518e+01 3.036574204355938500e-01
6.866666666666666752e-02 6.483726507589902610e+01 3.121480096603417298e-01
6.933333333333333015e-02 6.546982524592171160e+01 3.207657323551867945e-01
6.999999999999999278e-02 6.610246888560688205e+01 3.295096811530826564e-01
7.066666666666666929e-02 6.673519639766944067e+01 3.383788995409814926e-01
7.133333333333333193e-02 6.736800816797277491e+01 3.473723825449797076e-01
7.199999999999999456e-02 6.800090456555228968e+01 3.564890774221424197e-01
7.266666666666667107e-02 6.863388594264274900e+01 3.657278843607835728e-01
7.333333333333333370e-02 6.926695263471303576e+01 3.750876571859309005e-01
7.399999999999999634e-02 6.990010496050442157e+01 3.845672040721376250e-01
7.466666666666665897e-02 7.053334322207506091e+01 3.941652882620129694e-01
7.533333333333333548e-02 7.116666770484881965e+01 4.038806287900989500e-01
7.599999999999999811e-02 7.180007867766855156e+01 4.137119012136488694e-01
7.666666666666666075e-02 7.243357639285504490e+01 4.236577383466736957e-01
7.733333333333333726e-02 7.306716108626856965e+01 4.337167310013869126e-01
7.799999999999999989e-02 7.370083297737636485e+01 4.438874287327194690e-01
7.866666666666666252e-02 7.433459226932363606e+01 4.541683405880165281e-01
7.933333333333332515e-02 7.496843914900783545e+01 4.645579358618974197e-01
8.000000000000000167e-02 7.560237378715784473e+01 4.750546448545513445e-01
