# M_Msun R_km Lambda
1.080471343576842880e-01 2.151816594918676273e+01 1.000727347396342307e+08
1.154778398021851227e-01 1.989958336215476464e+01 7.293036887603607774e+07
1.230721864859786879e-01 1.864475940270222054e+01 5.397905617883101106e+07
1.306856139602614597e-01 1.765484706584399532e+01 4.057276586347223818e+07
1.380891304106915407e-01 1.686509827221415847e+01 3.106427616273588315e+07
1.448815804185078493e-01 1.624186312673386823e+01 2.442726256034120172e+07
1.500916059697307292e-01 1.579145427426494841e+01 2.021141305417565629e+07
1.512455737731192851e-01 1.561674696932585604e+01 1.887600348495452479e+07
1.515696238197775936e-01 1.544406862782889789e+01 1.777301640423437580e+07
1.520831556890016589e-01 1.521518348862549708e+01 1.637834905291041918e+07
1.531339712316899526e-01 1.491990496568550739e+01 1.466815976990563981e+07
1.549991069689515832e-01 1.455824732628602902e+01 1.268528136570341699e+07
1.579386034940571393e-01 1.413660599080370339e+01 1.056451488569316082e+07
1.622063508613609539e-01 1.366892319892767560e+01 8.453486719117349014e+06
1.680501550195969140e-01 1.317574796159972905e+01 6.502817051925343461e+06
1.757093246003351428e-01 1.267949611981262947e+01 4.817878588564062491e+06
1.854135090507908756e-01 1.220093976845717521e+01 3.456113396965955384e+06
1.973834780970802893e-01 1.175645597724178515e+01 2.410114766872553620e+06
2.118339109518531660e-01 1.135940781841921066e+01 1.644138682293405291e+06
2.289772478869263328e-01 1.101584931303203874e+01 1.102085702630920801e+06
2.490279442847385394e-01 1.072780256441147451e+01 7.298090072059055092e+05
2.722052238485349052e-01 1.049468086004856460e+01 4.791459106792401290e+05
2.987345588694873544e-01 1.031274396839548402e+01 3.127578015835269471e+05
3.288469097136634267e-01 1.017896481292957311e+01 2.035159195392708061e+05
3.627759264984246057e-01 1.008719946084978858e+01 1.322248992439155409e+05
4.007528264010670749e-01 1.003358472876331930e+01 8.587835883568487770e+04
4.429990131017918498e-01 1.001397224137225095e+01 5.583000064521414606e+04
4.897165690944785821e-01 1.002223328689256299e+01 3.637203105683907052e+04
5.410763428890038584e-01 1.005634151011618194e+01 2.373931717046680205e+04
5.972043084808766888e-01 1.011166060221053620e+01 1.555180954260412545e+04
6.581657534224135686e-01 1.018519824907304461e+01 1.022974995749315713e+04
7.239488763271769711e-01 1.027381184237432521e+01 6.760593746363725586e+03
7.944477074108763359e-01 1.037369074331795993e+01 4.492976701654251883e+03
8.694479498062499534e-01 1.048248353146342993e+01 3.005620350335921103e+03
9.486141243928083444e-01 1.059805758205020787e+01 2.025193663159319840e+03
1.031482872709953202e+00 1.071592321256521352e+01 1.375433180744196534e+03
1.117462310968496242e+00 1.083596794713891143e+01 9.429005474058225218e+02
1.205840031243700317e+00 1.095381437933016322e+01 6.522325868779845450e+02
1.295799403305343933e+00 1.106809967778187342e+01 4.565213759877175335e+02
1.386444046975138011e+00 1.117606995224891620e+01 3.230288376779429314e+02
1.476828297541124435e+00 1.127619922635373229e+01 2.311716219943749309e+02
1.565991522439394990e+00 1.136723500321967428e+01 1.676802743173074077e+02
1.652993327003110524e+00 1.144679092502519602e+01 1.231355307880051555e+02
1.736945958527404743e+00 1.151471984585073649e+01 9.159825827900458250e+01
1.817042195150900152e+00 1.156938435180821401e+01 6.906227358983689157e+01
1.892576615727385780e+00 1.161037439596326060e+01 5.274054045778384392e+01
1.962959843074185473e+00 1.163771852463134771e+01 4.085173978353743962e+01
2.027725324048280431e+00 1.165127171513110760e+01 3.203678876470006287e+01
2.086530248250989761e+00 1.165129999834665853e+01 2.545676443716785542e+01
2.139151007472537280e+00 1.163772562971285573e+01 2.048154277636554710e+01
2.185474975570179446e+00 1.161130054597446382e+01 1.668400260703053917e+01
2.225489535185440904e+00 1.157283272737337754e+01 1.375616492434100557e+01
2.259269926261528116e+00 1.152285102907254277e+01 1.147539831987221071e+01
2.286966445992777430e+00 1.146218013407159297e+01 9.682556441684539550e+00
2.308792010603904821e+00 1.139188162259234360e+01 8.259832051050507218e+00
2.325010035175184342e+00 1.131288210162600727e+01 7.123484385097806459e+00
2.335923406362031773e+00 1.122605537942685139e+01 6.207231355097468040e+00
2.341864593279690432e+00 1.113213671317638287e+01 5.463681972009128529e+00
2.343186060388823044e+00 1.103250196181728526e+01 4.857154188212865265e+00
