# M_Msun R_km
2.360494987188164473e-01 1.000000009999483552e+02
2.355638133041946247e-01 1.000000009999483552e+02
2.350481622055222708e-01 1.000000009999483552e+02
2.345038373221581263e-01 1.000000009999483552e+02
2.339263791759999822e-01 1.000000009999483552e+02
2.333237797068946351e-01 1.000000009999483552e+02
2.326814168947324291e-01 1.000000009999483552e+02
2.319979076317619793e-01 1.000000009999483552e+02
2.312814974676080382e-01 1.000000009999483552e+02
2.305204913991308335e-01 1.000000009999483552e+02
2.297170250454442508e-01 1.000000009999483552e+02
2.288660797214715215e-01 1.000000009999483552e+02
2.279658540590569771e-01 1.000000009999483552e+02
2.270152339230757099e-01 1.000000009999483552e+02
2.260162372421086197e-01 1.000000009999483552e+02
2.249637615630948884e-01 1.000000009999483552e+02
2.238532223473354010e-01 1.000000009999483552e+02
2.226830815099775096e-01 1.000000009999483552e+02
2.214556406664045518e-01 1.000000009999483552e+02
2.201586673816442463e-01 1.000000009999483552e+02
2.188102081131938770e-01 1.000000009999483552e+02
2.173936063135978036e-01 1.000000009999483552e+02
2.159081992322866295e-01 1.000000009999483552e+02
2.143528633119525517e-01 1.000000009999483552e+02
2.127265003502218921e-01 1.000000009999483552e+02
2.110287495338367680e-01 1.000000009999483552e+02
2.092588981484239663e-01 1.000000009999483552e+02
2.074161891746051090e-01 1.000000009999483552e+02
2.054914763772313357e-01 1.000000009999483552e+02
2.034932902215562667e-01 1.000000009999483552e+02
2.014210914471420144e-01 1.000000009999483552e+02
1.992624383934194776e-01 1.000000009999483552e+02
1.970253730520828417e-01 1.000000009999483552e+02
1.946990803754820309e-01 1.000000009999483552e+02
1.922925185643367674e-01 1.000000009999483552e+02
1.897951033548897493e-01 1.000000009999483552e+02
1.872057730140678777e-01 1.000000009999483552e+02
1.845234595953516854e-01 1.000000009999483552e+02
1.817585690728338865e-01 1.000000009999483552e+02
1.789001072976041107e-01 1.000000009999483552e+02
1.759476568035479305e-01 1.000000009999483552e+02
1.729011003261363422e-01 1.000000009999483552e+02
1.697730608730745883e-01 1.000000009999483552e+02
1.665404416613033289e-01 1.000000009999483552e+02
1.632317150361530800e-01 1.000000009999483552e+02
1.598470798391831427e-01 1.000000009999483552e+02
1.563923088568424102e-01 1.000000009999483552e+02
1.528733009886870942e-01 1.000000009999483552e+02
1.493105077028976657e-01 1.000000009999483552e+02
1.456985066743544666e-01 1.000000009999483552e+02
1.420461924814986898e-01 1.000000009999483552e+02
1.383635767705302666e-01 1.000000009999483552e+02
1.346688023279635493e-01 1.000000009999483552e+02
1.309608850970603866e-01 1.000000009999483552e+02
1.272507852041652177e-01 1.000000009999483552e+02
1.235507185531723728e-01 1.000000009999483552e+02
1.198662556409371416e-01 1.000000009999483552e+02
1.162173221383895616e-01 1.000000009999483552e+02
1.126141915056088072e-01 1.000000009999483552e+02
1.090054564035374263e-01 1.000000009999483552e+02
1.054011852009443390e-01 1.000000009999483552e+02
1.017816268216363007e-01 1.000000009999483552e+02
9.822168982678418370e-02 1.000000009999483552e+02
9.475908777697165941e-02 1.000000009999483552e+02
9.141990105636840780e-02 1.000000009999483552e+02
8.823727320891440462e-02 1.000000009999483552e+02
8.520377596814637799e-02 1.000000009999483552e+02
8.232099236864270919e-02 1.000000009999483552e+02
7.959124194615985193e-02 1.000000009999483552e+02
7.700892663881039879e-02 1.000000009999483552e+02
7.457982364639521855e-02 1.000000009999483552e+02
7.231275470700244956e-02 1.000000009999483552e+02
7.020583350378953313e-02 1.000000009999483552e+02
6.822347063394426647e-02 1.000000009999483552e+02
6.635795725512565191e-02 1.000000009999483552e+02
6.471071198090469490e-02 1.000000009999483552e+02
6.332928751975111514e-02 1.000000009999483552e+02
6.220767956087280143e-02 1.000000009999483552e+02
6.127925381619084289e-02 1.000000009999483552e+02
6.058190178980789320e-02 1.000000009999483552e+02
6.009210533897847012e-02 1.000000009999483552e+02
5.981094768642978426e-02 1.000000009999483552e+02
5.971524362076471165e-02 1.000000009999483552e+02
5.979662322819167403e-02 1.000000009999483552e+02
6.013240962241484661e-02 1.000000009999483552e+02
6.067631324643880941e-02 1.000000009999483552e+02
6.139792213717112923e-02 1.000000009999483552e+02
6.228579802715997205e-02 1.000000009999483552e+02
6.332474646508533256e-02 1.000000009999483552e+02
6.449542107098547861e-02 1.000000009999483552e+02
6.577944428605196625e-02 1.000000009999483552e+02
6.716050765959713509e-02 8.309000099998776534e+01
6.861871300813116026e-02 7.021800100001776457e+01
7.013919139426127991e-02 6.097400100002855794e+01
7.171415579402605489e-02 5.402400100002006411e+01
7.333984163297856129e-02 4.865200100001349881e+01
7.501201308550878299e-02 4.435200100000824364e+01
7.672862803928609532e-02 4.083400100000394417e+01
7.848894335426565005e-02 3.792600100000039021e+01
8.029102622961672986e-02 3.546600099999738376e+01
8.213404948841629416e-02 3.336000099999480994e+01
8.401792618141931679e-02 3.155200099999339258e+01
8.594139558591801231e-02 2.997000099999426936e+01
8.790420061579203026e-02 2.858400099999503752e+01
8.990578732195168843e-02 2.735600099999571810e+01
9.194559985450509454e-02 2.626600099999632221e+01
9.402306107761868037e-02 2.528800099999686424e+01
9.613755678541816008e-02 2.441000099999735085e+01
9.828841379377481480e-02 2.361400099999779201e+01
1.004746846187263148e-01 2.289000099999819327e+01
1.026960485531580175e-01 2.223400099999855684e+01
1.049512568061690271e-01 2.163200099999889048e+01
1.072391700210406223e-01 2.108000099999919641e+01
1.095587032731970556e-01 2.057000099999947906e+01
1.119086928425020860e-01 2.010400099999973733e+01
1.142874611175446059e-01 1.967000099999997786e+01
1.166934799730918876e-01 1.927000100000019955e+01
1.191246863549895590e-01 1.889800100000040572e+01
1.215789494849923158e-01 1.855200100000059749e+01
1.240541615621853083e-01 1.823000100000077595e+01
1.265472568651845320e-01 1.793000100000094221e+01
1.290554158908621407e-01 1.764800100000109850e+01
1.315751535829366436e-01 1.738400100000124482e+01
1.341026835979428622e-01 1.713600100000138227e+01
1.366336552351581912e-01 1.690600100000150974e+01
1.391630128172289538e-01 1.668600100000163167e+01
