# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3 Yp
1.529124085396230430e-03 1.437527064520567999e+00 8.836831148184137990e-04 7.407673801925589716e-05
1.587176238748534002e-03 1.492136239586397961e+00 9.313470424680995790e-04 7.744579532633005055e-05
1.647432302523166780e-03 1.548820469127619281e+00 9.814058810281814805e-04 8.096396710942824313e-05
1.709975946676698050e-03 1.607658624086663934e+00 1.033965867002222157e-03 8.463831790009083923e-05
1.774894017638545957e-03 1.668732573787961693e+00 1.089136812959977428e-03 8.847627004583010998e-05
1.842276658903622098e-03 1.732127299905929618e+00 1.147032133640838933e-03 9.248562337605089928e-05
1.912217436203150116e-03 1.797931014760247193e+00 1.207768863534674445e-03 9.667457606353673286e-05
1.984813467427554764e-03 1.866235284102759850e+00 1.271467664814227190e-03 1.010517467614431607e-04
2.060165557481753989e-03 1.937135154565879480e+00 1.338252825066595835e-03 1.056261981010439321e-04
2.138378338260152334e-03 2.010729285949398371e+00 1.408252243709291274e-03 1.104074616425155576e-04
2.219560413935688873e-03 2.087120088528406914e+00 1.481597406888482838e-03 1.154055643771831411e-04
2.303824511764681303e-03 2.166413865573160180e+00 1.558423349477104343e-03 1.206310568872344564e-04
2.391287638616880051e-03 2.248720961277809405e+00 1.638868603924748457e-03 1.260950432772001335e-04
2.482071243448062681e-03 2.334155914302812995e+00 1.723075135420078273e-03 1.318092129987533849e-04
2.576301385940816657e-03 2.422837617143968281e+00 1.811188262531512405e-03 1.377858747009629156e-04
2.674108911547631341e-03 2.514889481548338690e+00 1.903356563304261454e-03 1.440379922473745869e-04
2.775629633179387337e-03 2.610439610206324090e+00 1.999731766440888438e-03 1.505792230513319579e-04
2.881004519791532242e-03 2.709620974957313688e+00 2.100468627828292259e-03 1.574239588940527432e-04
2.990379892129794558e-03 2.812571601756181483e+00 2.205724792165284377e-03 1.645873694002372343e-04
3.103907625907256513e-03 2.919434762656032856e+00 2.315660641022334373e-03 1.720854483612504603e-04
3.221745362694890431e-03 3.030359175073704670e+00 2.430439127632341711e-03 1.799350631091979256e-04
3.344056728818439825e-03 3.145499208613324882e+00 2.550225600619738121e-03 1.881540071611737821e-04
3.471011562565543603e-03 3.265015099735651738e+00 2.675187617371457219e-03 1.967610563692319772e-04
3.602786150018634850e-03 3.389073174569122493e+00 2.805494751315452950e-03 2.057760288307173711e-04
3.739563469841074902e-03 3.517846080173018031e+00 2.941318394934227306e-03 2.152198488312848297e-04
3.881533447356427021e-03 3.651513024572455635e+00 3.082831563830211105e-03 2.251146151161003350e-04
4.028893218273676448e-03 3.790260025899199636e+00 3.230208706244850833e-03 2.354836738048392167e-04
4.181847402424576990e-03 3.934280170983349478e+00 3.383625525386609999e-03 2.463516962925037571e-04
4.340608387893316565e-03 4.083773883756760981e+00 3.543258821021921540e-03 2.577447625027370751e-04
4.505396625932862886e-03 4.238949203839738722e+00 3.709286361380693172e-03 2.696904498888367976e-04
4.676440937077717963e-03 4.400022075700519508e+00 3.881886795219642063e-03 2.822179286080354899e-04
4.853978828877963773e-03 4.567216648790327405e+00 4.061239617510986263e-03 2.953580633263344787e-04
5.038256825695888036e-03 4.740765589072104547e+00 4.247525205417277197e-03 3.091435221470518915e-04
5.229530811023119785e-03 4.920910402379827353e+00 4.440924941586360704e-03 3.236088931913985787e-04
5.428066382793566430e-03 5.107901770060221835e+00 4.641621447251850427e-03 3.387908094014263085e-04
5.634139222185649901e-03 5.301999897368537162e+00 4.849798949615234320e-03 3.547280821765534404e-04
5.848035476425734493e-03 5.503474875107444930e+00 5.065643813110968195e-03 3.714618445011134756e-04
6.070052156124562323e-03 5.712607055019425673e+00 5.289345267758478568e-03 3.890357042755370636e-04
6.300497547698204887e-03 5.929687439462493437e+00 5.521096373651519090e-03 4.074959085625827677e-04
6.539691641446334670e-03 6.155018085921477144e+00 5.761095266240421134e-03 4.268915196756140540e-04
6.787966575882186000e-03 6.388912526929711788e+00 6.009546733588577196e-03 4.472746038206013215e-04
7.045667098931172531e-03 6.631696205999762839e+00 6.266664184347258727e-03 4.687004333416313587e-04
7.313151046638697618e-03 6.883706930186992423e+00 6.532672073694775761e-03 4.912277035139643198e-04
7.590789840051600026e-03 7.145295339936493129e+00 6.807808862975745813e-03 5.149187649541064112e-04
7.878969000963586405e-03 7.416825396891463029e+00 7.092330600385735907e-03 5.398398727764666238e-04
8.178088687240363600e-03 7.698674890369145096e+00 7.386515221945007259e-03 5.660614536979898491e-04
8.488564248468211809e-03 7.991235963244372797e+00 7.690667682994969598e-03 5.936583923686843643e-04
8.810826802697267063e-03 8.294915658010259207e+00 8.005126047403424497e-03 6.227103382788722052e-04
9.145323835080501618e-03 8.610136483819999853e+00 8.330268678159434906e-03 6.533020346716571745e-04
9.492519819239639278e-03 8.937337005354345720e+00 8.666522686822220045e-03 6.855236709672270397e-04
9.852896862220733923e-03 9.276972454390232770e+00 9.014373826548646371e-03 7.194712602761938912e-04
1.022695537393521724e-02 9.629515364994514215e+00 9.374378028110372588e-03 7.552470436566180488e-04
1.061521476201555785e-02 9.995456233304405913e+00 9.747174807638444780e-03 7.929599228309912925e-04
1.101821415305090368e-02 1.037530420290446465e+01 1.013350279984560377e-02 8.327259231433721629e-04
1.143651314120377842e-02 1.076958777685752011e+01 1.053421770036397365e-02 8.746686885835187582e-04
1.187069256524755576e-02 1.117885555749856330e+01 1.095031293335631782e-02 9.189200107425574962e-04
1.232135531510361766e-02 1.160367701515682270e+01 1.138294339444275750e-02 9.656203935788304840e-04
1.278912716899817566e-02 1.204464328702653830e+01 1.183345266033012169e-02 1.014919655871243578e-03
1.327465766240114309e-02 1.250236800747127752e+01 1.230340409581789050e-02 1.066977573196090621e-03
1.377862098995370418e-02 1.297748817111310515e+01 1.279461633359983870e-02 1.121964561193163372e-03
1.430171694163691505e-02 1.347066503012461780e+01 1.330920365431134157e-02 1.180062401766160656e-03
1.484467187448136605e-02 1.398258502722140406e+01 1.384962184124464459e-02 1.241465013684121951e-03
1.540823972116708157e-02 1.451396076592864226e+01 1.441872014336306566e-02 1.306379268804808364e-03
1.599320303691426429e-02 1.506553201978220180e+01 1.501980003673508007e-02 1.375025854803722152e-03
1.660037408611848495e-02 1.563806678221291513e+01 1.565668153801615115e-02 1.447640184869822396e-03
1.723059597023931730e-02 1.623236235896362345e+01 1.633377788294036043e-02 1.524473354250498658e-03
1.788474379850842413e-02 1.684924650498441068e+01 1.705617945460197182e-02 1.605793142842476453e-03
1.856372590308277837e-02 1.748957860786507368e+01 1.782974790889867156e-02 1.691885062133339883e-03
1.926848510033042639e-02 1.815425091997778040e+01 1.866122151188304504e-02 1.783053443713176383e-03
2.000000000000000042e-02 1.884418984162446620e+01 1.955833277022521466e-02 1.879622565245531434e-03
2.066666666666666652e-02 1.947299537987485252e+01 2.040908496377757952e-02 1.969344022890364993e-03
2.133333333333333262e-02 2.010182890808434664e+01 2.129422356953144038e-02 2.060691647011323770e-03
2.199999999999999872e-02 2.073069066743710565e+01 2.221641348206273084e-02 2.153657834693655133e-03
2.266666666666666829e-02 2.135958096516565874e+01 2.317831087011465452e-02 2.248234616597522169e-03
2.333333333333333440e-02 2.198850016840260579e+01 2.418255909628768546e-02 2.344413631647588019e-03
2.400000000000000050e-02 2.261744869862366869e+01 2.523178501850566538e-02 2.442186104769661966e-03
2.466666666666666660e-02 2.324642702661147808e+01 2.632859562605971426e-02 2.541542827323109693e-03
2.533333333333333270e-02 2.387543566787628890e+01 2.747557497345993333e-02 2.642474139942235008e-03
2.600000000000000228e-02 2.450447517848264667e+01 2.867528137732293717e-02 2.744969917533335649e-03
2.666666666666666491e-02 2.513354615123434144e+01 2.993024484960250461e-02 2.849019556220770775e-03
2.733333333333333448e-02 2.576264921218111681e+01 3.124296474014899572e-02 2.954611962059970100e-03
2.800000000000000058e-02 2.639178501740955340e+01 3.261590757053541012e-02 3.061735541359814940e-03
2.866666666666666669e-02 2.702095425009115814e+01 3.405150503825388891e-02 3.170378192484451293e-03
2.933333333333333279e-02 2.765015761776054504e+01 3.555215217593653970e-02 3.280527299013680231e-03
2.999999999999999889e-02 2.827939584980039456e+01 3.712020565253218440e-02 3.392169724163510841e-03
3.066666666666666846e-02 2.890866969511416684e+01 3.875798220270919997e-02 3.505291806374803958e-03
3.133333333333333109e-02 2.953797991996839656e+01 4.046775717459033528e-02 3.619879355993612085e-03
3.200000000000000067e-02 3.016732730598863554e+01 4.225176318602667097e-02 3.735917652971820335e-03
3.266666666666666330e-02 3.079671264829593014e+01 4.411218888069877442e-02 3.853391445526994485e-03
3.333333333333333287e-02 3.142613675377065618e+01 4.605117777707345983e-02 3.972284949737112277e-03
3.400000000000000244e-02 3.205560043943349768e+01 4.807082720287719074e-02 4.092581849819140923e-03
3.466666666666666508e-02 3.268510453093266221e+01 5.017318731001146892e-02 4.214265299569015452e-03
3.533333333333333465e-02 3.331464986113056881e+01 5.236026016294854923e-02 4.337317924196500835e-03
3.600000000000000422e-02 3.394423726877892022e+01 5.463399889852902508e-02 4.461721823081694904e-03
3.666666666666666685e-02 3.457386759727861403e+01 5.699630694958969512e-02 4.587458573184436533e-03
3.733333333333332948e-02 3.520354169351536200e+01 5.944903733109825616e-02 4.714509233112194019e-03
3.799999999999999906e-02 3.583326040676660540e+01 6.199399198402717054e-02 4.842854347818013709e-03
3.866666666666666863e-02 3.646302458767397070e+01 6.463292117417382410e-02 4.972473953898593618e-03
3.933333333333333126e-02 3.709283508727697409e+01 6.736752294255082818e-02 5.103347585466920001e-03
4.000000000000000083e-02 3.772269275610277361e+01 7.019944261523919371e-02 5.235454280523726273e-03
4.066666666666667040e-02 3.835259844330971646e+01 7.313027231431777631e-02 5.368772588071888015e-03
4.133333333333333304e-02 3.898255299587853528e+01 7.616155059874236966e-02 5.503280575326378703e-03
4.199999999999999567e-02 3.961255725785101589e+01 7.929476206707611330e-02 5.638955835777470851e-03
