# M_Msun R_km Lambda
1.060382708393225321e-01 1.848302014558364093e+01 9.422327337944075465e+07
1.148157489081374355e-01 1.729035473269748735e+01 6.720423040962189436e+07
1.240585942496981453e-01 1.636374087157276591e+01 4.832473566049005836e+07
1.337158990286549110e-01 1.562934133076043075e+01 3.504740865904509276e+07
1.437064922218884711e-01 1.503815417079437111e+01 2.566511629734010622e+07
1.539042995267757008e-01 1.455615512231550568e+01 1.900284483048610389e+07
1.641125263386332411e-01 1.415877720953749908e+01 1.426620035136032104e+07
1.740106888124307027e-01 1.383060421748896651e+01 1.091323863791970350e+07
1.830127408803047528e-01 1.356100745178783207e+01 8.589083330181164667e+06
1.895141087408143410e-01 1.336225617091054829e+01 7.180766832980550826e+06
1.916794315814553118e-01 1.324548683956419737e+01 6.595594105251738802e+06
1.932971254986606546e-01 1.310946444089074170e+01 6.044617668459462933e+06
1.953475109310104652e-01 1.294120645709350548e+01 5.417958973233311437e+06
1.982591109714698374e-01 1.273817664007185968e+01 4.716785631016727537e+06
2.023698734890329032e-01 1.250442022695061794e+01 3.970448413272848353e+06
2.079897467877042105e-01 1.224759267263454277e+01 3.226349278588499408e+06
2.154146924455681567e-01 1.197457069983441968e+01 2.529730807602401823e+06
2.249302484050063333e-01 1.169780789826584666e+01 1.916876221972029423e+06
2.368116020310962466e-01 1.142779651946842634e+01 1.407623324512078892e+06
2.513240746912282497e-01 1.117504912646084847e+01 1.005511753656074172e+06
2.687252239050676450e-01 1.094785102732046944e+01 7.019365325967594981e+05
2.892671521951766800e-01 1.075071717043222641e+01 4.810185921018549707e+05
3.131973163800969573e-01 1.058819027505695942e+01 3.250470347112579620e+05
3.407613213587967760e-01 1.046049551186116489e+01 2.173885399410775281e+05
3.722029895078355355e-01 1.036731940972506294e+01 1.443493550583566830e+05
4.077573732396431727e-01 1.030759403664473162e+01 9.539058664843869337e+04
4.476482523520882717e-01 1.027879256682484410e+01 6.290540893617052643e+04
4.920795517042909073e-01 1.027806763850101390e+01 4.144285911147484876e+04
5.412203301442030101e-01 1.030279868024184609e+01 2.731312236132117687e+04
5.951938435183764531e-01 1.034992698477867812e+01 1.804424862159030090e+04
6.540613837223087090e-01 1.041536161676819106e+01 1.195649375351291383e+04
7.178042069662339264e-01 1.049721856497974848e+01 7.952075385324268609e+03
7.863072946938949315e-01 1.059276694639891225e+01 5.318586712751028244e+03
8.593447643052207763e-01 1.069785339770294463e+01 3.578138570756271292e+03
9.365685912398152846e-01 1.081020989848380154e+01 2.425351125484018667e+03
1.017503695675278763e+00 1.092750475995335613e+01 1.657079394003768812e+03
1.101549530390859788e+00 1.104585933024022637e+01 1.142678363523790267e+03
1.187990527970530286e+00 1.116384463647474412e+01 7.957428706091570803e+02
1.276014324478958795e+00 1.127786925383813710e+01 5.600334614490786862e+02
1.364737538148274698e+00 1.138667356018509302e+01 3.987258495057604364e+02
1.453235818361533926e+00 1.148761426642020211e+01 2.873039036290368244e+02
1.540577063977856653e+00 1.157933968771262734e+01 2.096525129159804237e+02
1.625853557231507374e+00 1.165991811830468272e+01 1.549122873357394212e+02
1.708211091132708193e+00 1.172874250894855130e+01 1.159690818236745145e+02
1.786873629130684815e+00 1.178422600281801813e+01 8.797785858125619995e+01
1.861161328645523305e+00 1.182633139039168491e+01 6.760307957875326679e+01
1.930502423840807724e+00 1.185491170492552548e+01 5.263537156819951690e+01
1.994438981654850673e+00 1.186934585441699497e+01 4.150415662811546014e+01
2.052627398542187454e+00 1.187000178643900661e+01 3.314277525617595188e+01
2.104834471493048920e+00 1.185742760600738954e+01 2.679591098902742985e+01
2.150930423664859870e+00 1.183189157586136808e+01 2.192705450926248290e+01
2.190879468995629686e+00 1.179374266784222947e+01 1.815938757392384417e+01
2.224729564588207253e+00 1.174416601485247469e+01 1.520849376856305213e+01
2.252601222845465490e+00 1.168379079492287254e+01 1.288463953476677126e+01
2.274676310366580356e+00 1.161346004909288965e+01 1.103290328277610577e+01
2.291187627093589807e+00 1.153396592855991010e+01 9.549825695074636300e+00
2.302408595781012313e+00 1.144653185823510988e+01 8.350891351141708441e+00
2.308644173837458791e+00 1.135199620105969309e+01 7.377366023842339082e+00
2.310222452130886506e+00 1.125120207083068102e+01 6.581789903531072738e+00
