# M_Msun R_km Lambda
1.125972824146161816e-01 1.997460710263078099e+01 8.626451847363744676e+07
1.204412170039726171e-01 1.870892737133196349e+01 6.353086232951685041e+07
1.285134281782092935e-01 1.770587529269668892e+01 4.729424263299712539e+07
1.367126124229224582e-01 1.689684270714814929e+01 3.559867404032217711e+07
1.448886352355637785e-01 1.623720475415411357e+01 2.715841167865717411e+07
1.528113574466369307e-01 1.569511877785483911e+01 2.107560872335332260e+07
1.600997612244484669e-01 1.525388372884046184e+01 1.674903830751472153e+07
1.659881832038961891e-01 1.491262966471052209e+01 1.385484248536943085e+07
1.686958712191642951e-01 1.471609911006682658e+01 1.247053241166403145e+07
1.696379661618969970e-01 1.456567101012483256e+01 1.164157960468999296e+07
1.704726191904328281e-01 1.438594438632338601e+01 1.075331379048884287e+07
1.716569722324775837e-01 1.416542864363142229e+01 9.726205251048620790e+06
1.734864185669848791e-01 1.390041467944879550e+01 8.562401077370764688e+06
1.762152520652463528e-01 1.359332941107988013e+01 7.311128796577396803e+06
1.800834889412796791e-01 1.325090092007728337e+01 6.038269883352767676e+06
1.853223882189589666e-01 1.288377808339371988e+01 4.823381175148896873e+06
1.921556862102550278e-01 1.250458446303404969e+01 3.727627762903518043e+06
2.007974402532373415e-01 1.212762247002553195e+01 2.792063217057894450e+06
2.114522620985767876e-01 1.176537421559681285e+01 2.035534680147466948e+06
2.243166745787534833e-01 1.142936289230904201e+01 1.449508845541767543e+06
2.395807149996317942e-01 1.112665851929368621e+01 1.012698023019929184e+06
2.574312711500450490e-01 1.086143823915302775e+01 6.972859176318994723e+05
2.780548784263543460e-01 1.063705291248127516e+01 4.746032000382507103e+05
3.016398663024631999e-01 1.045319452407489003e+01 3.205619962060821126e+05
3.283772952745784846e-01 1.030793625564196070e+01 2.152877253328645602e+05
3.584602545680760088e-01 1.019919600742090893e+01 1.441350457371147641e+05
3.920817996640275083e-01 1.012397056294695119e+01 9.632805843784629542e+04
4.294306414285199991e-01 1.007876036186090296e+01 6.431219749613075692e+04
4.706848116899047807e-01 1.006084460652698453e+01 4.295419483338190184e+04
5.160034861340515588e-01 1.006705605199037201e+01 2.872873035075439475e+04
5.655165299581993432e-01 1.009397787719111861e+01 1.924656013587127745e+04
6.193117129851287705e-01 1.013938063076447449e+01 1.292894240374417313e+04
6.774202380747531560e-01 1.020011862830988214e+01 8.717317685318379517e+03
7.398021168070403331e-01 1.027336121025596682e+01 5.899480295938681593e+03
8.063284602356960429e-01 1.035789799089160645e+01 4.012958785539973633e+03
8.767691815275884260e-01 1.044989701383534886e+01 2.744971729577410770e+03
9.507812707864186086e-01 1.054773314380290827e+01 1.890812284107409823e+03
1.027904537206659086e+00 1.064853370850087266e+01 1.312512283472050967e+03
1.107563305255413910e+00 1.074980928046139894e+01 9.186022057270234882e+02
1.189076989863466993e+00 1.084987087870551292e+01 6.488816731001351172e+02
1.271678849109503462e+00 1.094641711237252402e+01 4.631814737176412677e+02
1.354541039053847706e+00 1.103745834531197012e+01 3.342385788007043175e+02
1.436804773470328866e+00 1.112122996292537103e+01 2.439880856737962915e+02
1.517611765185773232e+00 1.119608530845205152e+01 1.802055447485454636e+02
1.596134488703130572e+00 1.126092596938248747e+01 1.347890168462321299e+02
1.671603212592041032e+00 1.131459190477861121e+01 1.020728050891789991e+02
1.743327401851080705e+00 1.135628717707901281e+01 7.829077075000184038e+01
1.810711103641686304e+00 1.138582036810353415e+01 6.082008105327648906e+01
1.873262182836883616e+00 1.140254136725410028e+01 4.784492155800479196e+01
1.930595927406109080e+00 1.140685542648932049e+01 3.810383711136648088e+01
1.982433564508536250e+00 1.139871826414455391e+01 3.072525117172008891e+01
2.028597358510123350e+00 1.137829528411188207e+01 2.507993819717507833e+01
2.069002998148287364e+00 1.134617513091479069e+01 2.071374749811744209e+01
2.103650327058472769e+00 1.130306263682112977e+01 1.730874312768776591e+01
2.132613088586393868e+00 1.124945415659985848e+01 1.462570741550780618e+01
2.156028739437714670e+00 1.118629165728239272e+01 1.249300045943019022e+01
2.174088293215747925e+00 1.111425023810969037e+01 1.078676617268265936e+01
2.187026831613814615e+00 1.103433544247560860e+01 9.409727021984890527e+00
2.195114575417664415e+00 1.094714304643795977e+01 8.294077503105816263e+00
2.198648725558026928e+00 1.085400541597235424e+01 7.382474069231383496e+00
