# n_fm^-3 Ebind_MeV Esym_MeV Psnm_MeVfm^-3 K_MeV L_MeV
1.317500000000000060e-01 -1.351704576477288811e+01 2.711929408508623141e+01 -6.547111105310818857e-01 2.140015607325942426e+02 7.247887657815530815e+01
1.342250000000000110e-01 -1.360620129826725133e+01 2.756906849817025673e+01 -6.184412805302059724e-01 2.222065825786400808e+02 7.246385237629552023e+01
1.367000000000000159e-01 -1.368696190476441643e+01 2.801007714651955638e+01 -5.780659056526360473e-01 2.305290457941103455e+02 7.229595718778834623e+01
1.391750000000000209e-01 -1.375932570231759655e+01 2.844169709626719111e+01 -5.334692824041553649e-01 2.389673157064001998e+02 7.196747234219030531e+01
1.416500000000000259e-01 -1.382329218176994345e+01 2.886329309309483193e+01 -4.845365130688605859e-01 2.475197673972858183e+02 7.147073004588357037e+01
1.441250000000000309e-01 -1.387886212267289920e+01 2.927421883700639427e+01 -4.311535064269662598e-01 2.561847845645212374e+02 7.079815926249786173e+01
1.466000000000000081e-01 -1.392603751551303048e+01 2.967381842029775640e+01 -3.732069784039424576e-01 2.649607583594674338e+02 6.994233562497451828e+01
1.490750000000000131e-01 -1.396482148971915649e+01 3.006142793510466760e+01 -3.105844528242585056e-01 2.738460864696458543e+02 6.889603537504255826e+01
1.515500000000000180e-01 -1.399521824693624694e+01 3.043637725557410079e+01 -2.431742622851515989e-01 2.828391718631913818e+02 6.765229321046345490e+01
1.540250000000000230e-01 -1.401723299914237941e+01 3.079799199843205315e+01 -1.708655491783304115e-01 2.919384215053960361e+02 6.620446388577904884e+01
1.565000000000000280e-01 -1.403087191123040611e+01 3.114559566434887827e+01 -9.354826688348794050e-02 3.011422453939880484e+02 6.454628733124647511e+01
1.589750000000000330e-01 -1.403614204766745388e+01 3.147851196071037094e+01 -1.111318116156212454e-02 3.104490552919326660e+02 6.267195698275087778e+01
1.614500000000000102e-01 -1.403305132293098723e+01 3.179606730467936515e+01 7.654812823315637615e-02 3.198572634138333228e+02 6.057619092604349476e+01
1.639250000000000151e-01 -1.402160845542971401e+01 3.209759350315677295e+01 1.695432657038793423e-01 3.293652813232278049e+02 5.825430536501608714e+01
1.664000000000000201e-01 -1.400182292463603062e+01 3.238243060406797014e+01 2.679790177060397127e-01 3.389715187488390029e+02 5.570228986040305585e+01
1.688750000000000251e-01 -1.397370493119376533e+01 3.264992991102735687e+01 3.719613503756704631e-01 3.486743823168054632e+02 5.291688365730509247e+01
1.713500000000000301e-01 -1.393726535977816638e+01 3.289945715053460873e+01 4.815954068733105942e-01 3.584722743320473342e+02 4.989565233489939544e+01
1.738250000000000073e-01 -1.389251574451577653e+01 3.313039577827325388e+01 5.969855044412781808e-01 3.683635916873669771e+02 4.663706395043973885e+01
1.763000000000000123e-01 -1.383946823676865279e+01 3.334215040822611087e+01 7.182351311587353848e-01 3.783467246162001061e+02 4.314056373065049854e+01
1.787750000000000172e-01 -1.377813557512070020e+01 3.353415034523623461e+01 8.454469423933232974e-01 3.884200555352040283e+02 3.940664628251637680e+01
1.812500000000000222e-01 -1.370853105741832678e+01 3.370585319869542928e+01 9.787227569447622955e-01 3.985819579706256945e+02 3.543692425219365560e+01
1.837250000000000272e-01 -1.363066851470341589e+01 3.385674855222172397e+01 1.118163552873710387e+00 4.088307953827015240e+02 3.123419228373826684e+01
1.862000000000000322e-01 -1.354456228693516096e+01 3.398636166117015023e+01 1.263869463022473383e+00 4.191649201539099181e+02 2.680248508029261956e+01
1.886750000000000094e-01 -1.345022720035035491e+01 3.409425714718672396e+01 1.415939770221598337e+00 4.295826725113241196e+02 2.214712838192240696e+01
