# n_fm^-3 Ebind_MeV Esym_MeV Psnm_MeVfm^-3 K_MeV L_MeV
8.000000000000000167e-03 -7.072041020428514457e-01 2.805646976825548755e+00 -1.234842208573283528e-02 -1.855745713288628806e+00 6.814928489940676570e+00
1.047499999999999994e-02 -1.198512104586143323e+00 3.497697169018486818e+00 -2.225980621621026501e-02 -2.352000331485275098e+00 8.650583646595501719e+00
1.294999999999999971e-02 -1.706982513808839030e+00 4.168268744547035887e+00 -3.477326195940477760e-02 -1.943462377605740921e+00 1.040118656831926103e+01
1.542500000000000121e-02 -2.222323273546862765e+00 4.822944878495459164e+00 -4.965096878099828359e-02 -4.178825613102082892e-01 1.212309986119719341e+01
1.789999999999999925e-02 -2.738311297948712308e+00 5.465067108953866715e+00 -6.665034281804693705e-02 1.439434053473465092e+00 1.381910878525401287e+01
2.037500000000000075e-02 -3.250916026522531865e+00 6.096773341940661339e+00 -8.553123016909935927e-02 3.601187132615256470e+00 1.549021823560941868e+01
2.285000000000000225e-02 -3.757409317722363085e+00 6.719489689997084625e+00 -1.060597094557991227e-01 6.038448873548243334e+00 1.713636947250688181e+01
2.532500000000000029e-02 -4.255892126783123786e+00 7.334191706476169692e+00 -1.280102031735630419e-01 8.722887083528666707e+00 1.875685242766906313e+01
2.780000000000000179e-02 -4.745021092298316034e+00 7.941555099894575420e+00 -1.511666532213595815e-01 1.162746054158905018e+01 2.035055417971623726e+01
3.027500000000000330e-02 -5.223840314355015835e+00 8.542048339444939131e+00 -1.753231367045415823e-01 1.472664745311997692e+01 2.191611573562505200e+01
3.275000000000000133e-02 -5.691672562898702381e+00 9.135992456253990923e+00 -2.002841261035719356e-01 1.799651597166478467e+01 2.345203500079387737e+01
3.522500000000000631e-02 -6.148046014566830308e+00 9.723601247881884291e+00 -2.258645125073428517e-01 2.141473810003263623e+01 2.495673671252771442e+01
3.770000000000000434e-02 -6.592643231930082948e+00 1.030500922206437053e+01 -2.518894650974630167e-01 2.496058234449068536e+01 2.642862124118437706e+01
4.017500000000000238e-02 -7.025264613625836319e+00 1.088029156745626480e+01 -2.781941743756561891e-01 2.861489762527946823e+01 2.786609936163338830e+01
4.265000000000000041e-02 -7.445801571716287981e+00 1.144947876647495022e+01 -3.046235114088133855e-01 3.236009255194180412e+01 2.926761738850365191e+01
4.512500000000000538e-02 -7.854216434113141077e+00 1.201256750393999440e+01 -3.310316259264212135e-01 3.618011104780457288e+01 3.063167548577932209e+01
4.760000000000000342e-02 -8.250527112033182675e+00 1.256952895044250340e+01 -3.572815001840154991e-01 4.006040429246797174e+01 3.195684100319800436e+01
5.007500000000000145e-02 -8.634795217645773846e+00 1.312031514375673069e+01 -3.832444712637652628e-01 4.398789873159276453e+01 3.324175809579189433e+01
5.255000000000000643e-02 -9.007116728560163210e+00 1.366486396508167900e+01 -4.087997319804657081e-01 4.795095990132895025e+01 3.448515450458330633e+01
5.502500000000000446e-02 -9.367614565226290324e+00 1.420310305874364509e+01 -4.338338183936585324e-01 5.193935192515608179e+01 3.568584612655796207e+01
5.750000000000000250e-02 -9.716432627851190773e+00 1.473495294479672779e+01 -4.582400905477967967e-01 5.594419273922238034e+01 3.684273983763485916e+01
5.997500000000000747e-02 -1.005373096295068081e+01 1.526032950625838680e+01 -4.819182119299583178e-01 5.995790525970258500e+01 3.795483491968842316e+01
6.245000000000000551e-02 -1.037968181569192438e+01 1.577914598552179370e+01 -5.047736322502558437e-01 6.397416475343300135e+01 3.902122336387099466e+01
6.492500000000001048e-02 -1.069446638522151716e+01 1.629131459113248326e+01 -5.267170774248128851e-01 6.798784280167188854e+01 4.004108926733447049e+01
6.740000000000001545e-02 -1.099827214407264364e+01 1.679674779208477986e+01 -5.476640500403178180e-01 7.199494836204721082e+01 4.101370750065780157e+01
6.987500000000000655e-02 -1.129129061479272877e+01 1.729535935932366186e+01 -5.675343430538362099e-01 7.599256637199430031e+01 4.193844179318526955e+01
7.234999999999999765e-02 -1.157371552061886177e+01 1.778706520115462553e+01 -5.862515690316740802e-01 7.997879438284304854e+01 4.281474235901691117e+01
7.482500000000000262e-02 -1.184574124480218416e+01 1.827178402957076031e+01 -6.037427068252156914e-01 8.395267783693122965e+01 4.364214317100805118e+01
7.730000000000000759e-02 -1.210756154655530281e+01 1.874943788718420734e+01 -6.199376672246046382e-01 8.791414445128981470e+01 4.442025897448083782e+01
7.977500000000001257e-02 -1.235936849187885400e+01 1.921995255878024977e+01 -6.347688788115277703e-01 9.186393813779942263e+01 4.514878211917645956e+01
8.225000000000001754e-02 -1.260135156545800328e+01 1.968325788714210489e+01 -6.481708949391986607e-01 9.580355300567383381e+01 4.582747928015272976e+01
8.472499999999999476e-02 -1.283369693598910999e+01 2.013928800938513319e+01 -6.600800225117211539e-01 9.973516787921805360e+01 4.645618812626625527e+01
8.719999999999999973e-02 -1.305658685215269088e+01 2.058798152725233166e+01 -6.704339730039521328e-01 1.036615816497770908e+02 4.703481398967014826e+01
8.967500000000000471e-02 -1.327019915031598885e+01 2.102928162272178270e+01 -6.791715359527330520e-01 1.075861498488831955e+02 4.756332658140080127e+01
9.215000000000000968e-02 -1.347470685814164426e+01 2.146313612841554885e+01 -6.862322749732499005e-01 1.115127227808023775e+02 4.804175679158677781e+01
