# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3
1.531821877980378121e-03 1.439999425113218434e+00 8.253948235888645523e-04
1.587176238748534002e-03 1.492066263394498993e+00 8.667358489352306947e-04
1.647432302523166780e-03 1.548745297564832812e+00 9.121928466503287673e-04
1.709975946676698050e-03 1.607577879379925134e+00 9.598388587158553347e-04
1.774894017638545957e-03 1.668645851611183728e+00 1.009764388402865009e-03
1.842276658903622098e-03 1.732034167620690512e+00 1.062062577563741093e-03
1.912217436203150116e-03 1.797831009552897097e+00 1.116829206991918353e-03
1.984813467427554764e-03 1.866127911013218732e+00 1.174162692176027945e-03
2.060165557481753989e-03 1.937019884403804681e+00 1.234164074483751032e-03
2.138378338260152334e-03 2.010605553093182341e+00 1.296937008132948701e-03
2.219560413935688873e-03 2.086987288603014079e+00 1.362587743587518338e-03
2.303824511764681303e-03 2.166271353002472644e+00 1.431225107986592053e-03
2.391287638616880051e-03 2.248568046707472678e+00 1.502960483975802376e-03
2.482071243448062681e-03 2.333991861890412078e+00 1.577907787715946211e-03
2.576301385940816657e-03 2.422661641713234282e+00 1.656183447929167590e-03
2.674108911547631341e-03 2.514700745604750765e+00 1.737906388179354328e-03
2.775629633179387337e-03 2.610237220812090975e+00 1.823198014680432267e-03
2.881004519791532242e-03 2.709403980464680561e+00 1.912182212685648725e-03
2.990379892129794558e-03 2.812338988398266348e+00 2.004985355262783528e-03
3.103907625907256513e-03 2.919185450996726772e+00 2.101736328193977953e-03
3.221745362694890431e-03 3.030092016317687431e+00 2.202566577318711052e-03
3.344056728818439825e-03 3.145212980780616618e+00 2.307610183195903195e-03
3.471011562565543603e-03 3.264708503705001430e+00 2.417003970903567646e-03
3.602786150018634850e-03 3.388744829998328267e+00 2.530887663092241599e-03
3.739563469841074902e-03 3.517494521304801225e+00 2.649404086301419738e-03
3.881533447356427021e-03 3.651136695938911103e+00 2.772699441118349744e-03
4.028893218273676448e-03 3.789857277939177482e+00 2.900923649989510696e-03
4.181847402424576990e-03 3.933849255592073213e+00 3.034230797152900286e-03
4.340608387893316565e-03 4.083312949789524637e+00 3.172779677862357529e-03
4.505396625932862886e-03 4.238456292597350128e+00 3.316734476886903232e-03
4.676440937077717963e-03 4.399495116428093766e+00 3.466265598569819202e-03
4.853978828877963773e-03 4.566653454226776709e+00 3.621550674093263270e-03
5.038256825695888036e-03 4.740163851095158698e+00 3.782775774982114880e-03
5.229530811023119785e-03 4.920267687796894940e+00 3.950136866205768496e-03
5.428066382793566430e-03 5.107215516604737715e+00 4.123841535802001343e-03
5.634139222185649901e-03 5.301267409969477207e+00 4.304111043655083242e-03
5.848035476425734493e-03 5.502693322510411988e+00 4.491182736683663537e-03
6.070052156124562323e-03 5.711773466847898106e+00 4.685312884394612735e-03
6.300497547698204887e-03 5.928798703820506333e+00 4.886779994754930287e-03
6.539691641446334670e-03 6.154070947653000445e+00 5.095888677270571897e-03
6.787966575882186000e-03 6.387903586663844280e+00 5.312974129612114266e-03
7.045667098931172531e-03 6.630621920128322522e+00 5.538407331014186079e-03
7.313151046638697618e-03 6.882563611938437020e+00 5.772601037153976544e-03
7.590789840051600026e-03 7.144079161730693350e+00 6.016016679228669735e-03
7.878969000963586405e-03 7.415532394180053721e+00 6.269172284806473483e-03
8.178088687240363600e-03 7.697300967191771370e+00 6.532651547316387954e-03
8.488564248468211809e-03 7.989776899754895467e+00 6.807114185970753947e-03
8.810826802697267063e-03 8.293367120254751867e+00 7.093307753311315321e-03
9.145323835080501618e-03 8.608494036080898582e+00 7.392081060680134527e-03
9.492519819239639278e-03 8.935596125402179624e+00 7.704399412327377766e-03
9.852896862220733923e-03 9.275128552024227702e+00 8.031361853667805598e-03
1.022695537393521724e-02 9.627563804285985682e+00 8.374220660368770011e-03
