# n_fm^-3 Ebind_MeV Esym_MeV Psnm_MeVfm^-3 K_MeV L_MeV
8.000000000000000167e-03 -1.405929701966215362e-01 2.281161111444073075e+00 -8.418474331511660580e-03 -3.061863245761951013e+00 5.322926417125690257e+00
1.047499999999999994e-02 -4.864885737168833657e-01 2.822398986803676735e+00 -1.609890001568459184e-02 -4.366340926816078216e+00 6.774455027162350262e+00
1.294999999999999971e-02 -8.622074218968691639e-01 3.348259039350314215e+00 -2.619188227641622291e-02 -4.902053397170300642e+00 8.179923966317295125e+00
1.542500000000000121e-02 -1.256793701397555196e+00 3.864628681353757589e+00 -3.859886835184589415e-02 -4.396991649487713261e+00 9.599673275258771454e+00
1.789999999999999925e-02 -1.663402323344712386e+00 4.375128465877184070e+00 -5.320072787402807535e-02 -3.639746990803959914e+00 1.103862226501756183e+01
2.037500000000000075e-02 -2.077411014681615598e+00 4.882155314721297934e+00 -6.986568747985799632e-02 -2.632809559066262128e+00 1.249973657023688922e+01
2.285000000000000225e-02 -2.495523884954423011e+00 5.387377071565079945e+00 -8.845380676509861928e-02 -1.381564494729712322e+00 1.398475218954443910e+01
2.532500000000000029e-02 -2.915294342402489747e+00 5.891995188364550273e+00 -1.088197328280386955e-01 1.079148138652813865e-01 1.549458889584622590e+01
2.780000000000000179e-02 -3.334849329440089605e+00 6.396896190149334416e+00 -1.308145073607391851e-01 1.829536213544264767e+00 1.702959635669912331e+01
3.027500000000000330e-02 -3.752719580930261145e+00 6.902744612413240333e+00 -1.542868117960125574e-01 3.777389441900709244e+00 1.858970653436138676e+01
3.275000000000000133e-02 -4.167729827570269663e+00 7.410042871625677208e+00 -1.790838591701380267e-01 5.945790932653689964e+00 2.017453106362179227e+01
3.522500000000000631e-02 -4.578924858469463288e+00 7.919171368290371049e+00 -2.050520531889361564e-01 8.329276476673635798e+00 2.178342487890008528e+01
3.770000000000000434e-02 -4.985518043605793537e+00 8.430416215846687322e+00 -2.320374877982729345e-01 1.092257850032778066e+01 2.341552831306537641e+01
4.017500000000000238e-02 -5.386854472093887125e+00 8.943988920453708857e+00 -2.598863338108614585e-01 1.372060126878718478e+01 2.506979498029893705e+01
4.265000000000000041e-02 -5.782383914470983655e+00 9.460040651876388651e+00 -2.884451432184178543e-01 1.671839863830335560e+01 2.674500997958332960e+01
4.512500000000000538e-02 -6.171640573832178234e+00 9.978672776639232467e+00 -3.175610921621938587e-01 1.991115551100062220e+01 2.843980132123169113e+01
4.760000000000000342e-02 -6.554227642788305275e+00 1.049994474450868331e+01 -3.470821768226812765e-01 2.329417300032078231e+01 3.015264649217250437e+01
5.007500000000000145e-02 -6.929805334909815429e+00 1.102388006050655633e+01 -3.768573729601385480e-01 2.686285684700509435e+01 3.188187545588800376e+01
5.255000000000000643e-02 -7.298081475444405442e+00 1.155047084540165159e+01 -4.067367664986178966e-01 3.061270848051945492e+01 3.362567098227309970e+01
5.502500000000000446e-02 -7.658804008766423976e+00 1.207968133778059183e+01 -4.365716608978402746e-01 3.453931824672694972e+01 3.538206694692203769e+01
5.750000000000000250e-02 -8.011754962857935425e+00 1.261145059028890891e+01 -4.662146656032248870e-01 3.863836033022529648e+01 3.714894506263048157e+01
5.997500000000000747e-02 -8.356745536387052198e+00 1.314569454392564296e+01 -4.955197688910502052e-01 4.290558899034321882e+01 3.892403038938069670e+01
6.245000000000000551e-02 -8.693612061311455363e+00 1.368230761642443483e+01 -5.243423977077128484e-01 4.733683580013647685e+01 4.070488588664461105e+01
6.492500000000001048e-02 -9.022212655964949590e+00 1.422116390682338150e+01 -5.525394665645748660e-01 5.192800764595251906e+01 4.248890621936916290e+01
6.740000000000001545e-02 -9.342424428263939262e+00 1.476211809408264486e+01 -5.799694171496270201e-01 5.667508530784709819e+01 4.427331098934182307e+01
6.987500000000000655e-02 -9.654141121332258990e+00 1.530500608979688515e+01 -6.064922500071503464e-01 6.157412245557613772e+01 4.605513753677443134e+01
7.234999999999999765e-02 -9.957271118017843037e+00 1.584964549208876505e+01 -6.319695494000399094e-01 6.662124494306614508e+01 4.783123344452608450e+01
7.482500000000000262e-02 -1.025173573889230738e+01 1.639583587809637066e+01 -6.562645022817719109e-01 7.181265026567427867e+01 4.959824886236076935e+01
7.730000000000000759e-02 -1.053746778203253598e+01 1.694335896516454909e+01 -6.792419121580337560e-01 7.714460716801595197e+01 5.135262876721149183e+01
7.977500000000001257e-02 -1.081441026341008182e+01 1.749197866549480551e+01 -7.007682084983173354e-01 8.261345538845506553e+01 5.309060527281928188e+01
8.225000000000001754e-02 -1.108251532474685064e+01 1.804144105479353044e+01 -7.207114522670252654e-01 8.821560529172536747e+01 5.480819010352627174e+01
8.472499999999999476e-02 -1.134174328209326177e+01 1.859147427243484429e+01 -7.389413380597886771e-01 9.394753754867829798e+01 5.650116735108795751e+01
8.719999999999999973e-02 -1.159206179331636122e+01 1.914178836821099594e+01 -7.553291932673147357e-01 9.980580284530998370e+01 5.816508664021786501e+01
8.967500000000000471e-02 -1.183344512655310155e+01 1.969207510909034653e+01 -7.697479746434225945e-01 1.057870214415266759e+02 5.979525683548415316e+01
9.215000000000000968e-02 -1.206587351493612914e+01 2.024200775799130270e+01 -7.820722625953919760e-01 1.118878827289855593e+02 6.138674043027409510e+01
9.462500000000001465e-02 -1.228933258526649297e+01 2.079124083573117332e+01 -7.921782534923096364e-01 1.181051446421248556e+02 6.293434876970597003e+01
9.710000000000001963e-02 -1.250381285048013069e+01 2.133940987656477617e+01 -7.999437502404447287e-01 1.244356330580254166e+02 6.443263826825034357e+01
9.957499999999999685e-02 -1.270930925728896455e+01 2.188613118735437268e+01 -8.052481513582563366e-01 1.308762410711549933e+02 6.587590779505252669e+01
1.020500000000000018e-01 -1.290582078178942993e+01 2.243100162009313436e+01 -8.079724387536941776e-01 1.374239281415805749e+02 6.725819741017269848e+01
1.045250000000000068e-01 -1.309335006694118420e+01 2.297359836743066097e+01 -8.079991643848245531e-01 1.440757192779007596e+02 6.857328864715060490e+01
1.070000000000000118e-01 -1.327190309667582824e+01 2.351347879079677838e+01 -8.052124359731038794e-01 1.508287039952585076e+02 6.981470654540068210e+01
1.094750000000000167e-01 -1.344148890223573289e+01 2.405018029079431585e+01 -7.994979019143499954e-01 1.576800352527325231e+02 7.097572364807636802e+01
1.119500000000000217e-01 -1.360211929691229216e+01 2.458322022965794673e+01 -7.907427355232243826e-01 1.646269283564344335e+02 7.204936619549287968e+01
1.144249999999999989e-01 -1.375380863591271918e+01 2.511209591582836964e+01 -7.788356187345470971e-01 1.716666596947479206e+02 7.302842273341106250e+01
1.169000000000000039e-01 -1.389657359852708396e+01 2.563628466059635613e+01 -7.636667253694469082e-01 1.787965654493778231e+02 7.390545538725433516e+01
1.193750000000000089e-01 -1.403043299014427703e+01 2.615524391744487787e+01 -7.451277040685369002e-01 1.860140402821096188e+02 7.467281403608332369e+01
1.218500000000000139e-01 -1.415540756197651717e+01 2.666841151428882029e+01 -7.231116609826244712e-01 1.933165359110858503e+02 7.532265362525012620e+01
1.243250000000000188e-01 -1.427151984663316853e+01 2.717520598951433186e+01 -6.975131423046434520e-01 2.007015596081433273e+02 7.584695486484152127e+01
1.268000000000000238e-01 -1.437879400791791795e+01 2.767502704235629096e+01 -6.682281167165200486e-01 2.081666727188163577e+02 7.623754853371404749e+01
1.292750000000000010e-01 -1.447725570341424373e+01 2.816725610844672900e+01 -6.351539577837996831e-01 2.157094891046281759e+02 7.648614362265192312e+01
1.317500000000000060e-01 -1.456693195859634216e+01 2.865125707118920673e+01 -5.981894265342333483e-01 2.233276735068727419e+02 7.658435950091407562e+01
1.342250000000000110e-01 -1.464785105136263610e+01 2.912637711927411388e+01 -5.572346539120189846e-01 2.310189399492231530e+02 7.652376230831050918e+01
1.367000000000000159e-01 -1.472004240599653713e+01 2.959194776076799371e+01 -5.121911235760023828e-01 2.387810501077587446e+02 7.629590570873727984e+01
1.391750000000000209e-01 -1.478353649568498440e+01 3.004728600310306064e+01 -4.629616548136823440e-01 2.466118115345526292e+02 7.589237612144601997e+01
1.416500000000000259e-01 -1.483836475281293588e+01 3.049169570831881870e+01 -4.094503857089932808e-01 2.545090759989701610e+02 7.530484251679853003e+01
1.441250000000000309e-01 -1.488455948635612458e+01 3.092446913160795319e+01 -3.515627565853947090e-01 2.624707378431712073e+02 7.452511077911330517e+01
1.466000000000000081e-01 -1.492215380571474270e+01 3.134488865045610595e+01 -2.892054937620969213e-01 2.704947321393320863e+02 7.354518261086316500e+01
1.490750000000000131e-01 -1.495118155047885011e+01 3.175222869032502970e+01 -2.222865936461744241e-01 2.785790329979260491e+02 7.235731887507259330e+01
1.515500000000000180e-01 -1.497167722558435798e+01 3.214575785148826981e+01 -1.507153071928257759e-01 2.867216518733548583e+02 7.095410718900581060e+01
1.540250000000000230e-01 -1.498367594143940096e+01 3.252474123972694287e+01 -7.440212475202656606e-02 2.949206357750746292e+02 6.932853351287687360e+01
1.565000000000000280e-01 -1.498721335859272585e+01 3.288844300192648973e+01 6.741238673669158743e-03 3.031740655403212941e+02 6.747405738715481505e+01
1.589750000000000330e-01 -1.498232563660019423e+01 3.323612906521452004e+01 9.280185774815663535e-02 3.114800541856383234e+02 6.538469035252386163e+01
