# n_fm^-3 Ebind_MeV Esym_MeV Psnm_MeVfm^-3 K_MeV L_MeV
8.000000000000000167e-03 -5.973654874264866521e-02 2.123250698622846322e+00 -7.853254324325043001e-03 -3.238835725298874646e+00 4.842694701704832738e+00
1.047499999999999994e-02 -3.847257899573151008e-01 2.614827299998600196e+00 -1.521385665805219389e-02 -4.665238797266347603e+00 6.142163047769838791e+00
1.294999999999999971e-02 -7.414063338411551740e-01 3.090751321899240622e+00 -2.496391333623471098e-02 -5.348390345993813355e+00 7.394348346795000637e+00
1.542500000000000121e-02 -1.118766355725142603e+00 3.556964348045839497e+00 -3.702808926200518158e-02 -5.009947419304468852e+00 8.660333930203060859e+00
1.789999999999999925e-02 -1.509902449596438601e+00 4.017140364676229147e+00 -5.130863311500277746e-02 -4.437227059266222184e+00 9.945514753911560035e+00
2.037500000000000075e-02 -1.910132798937524967e+00 4.473729674523720945e+00 -6.769332415306195117e-02 -3.629432740321459239e+00 1.125334075273268297e+01
2.285000000000000225e-02 -2.316101354493298459e+00 4.928453848946606541e+00 -8.605996959738604346e-02 -2.588736439530320066e+00 1.258604300846194413e+01
2.532500000000000029e-02 -2.725301130089746948e+00 5.382568666382023359e+00 -1.062791865391936597e-01 -1.318078287777684210e+00 1.394504850174441479e+01
2.780000000000000179e-02 -3.135798691188483645e+00 5.837015745407742706e+00 -1.282162405493032509e-01 1.794980349234761019e-01 1.533122709549496498e+01
3.027500000000000330e-02 -3.546064591304912028e+00 6.292515598308883185e+00 -1.517323254182443293e-01 1.901042140311258510e+00 1.674504447073539026e+01
3.275000000000000133e-02 -3.954863706316359639e+00 6.749627582788862767e+00 -1.766854919631057896e-01 3.843738765768951016e+00 1.818665979009209721e+01
3.522500000000000631e-02 -4.361181396547749500e+00 7.208790061015815098e+00 -2.029313458666237580e-01 6.004898111857869480e+00 1.965598939960245417e+01
3.770000000000000434e-02 -4.764172106990713473e+00 7.670348165027159659e+00 -2.303235874410418660e-01 8.381931411828793088e+00 2.115274880860693685e+01
4.017500000000000238e-02 -5.163122567623304349e+00 8.134573496936276626e+00 -2.587144395421603349e-01 1.097232495091213345e+01 2.267648026467696454e+01
4.265000000000000041e-02 -5.557424805965410997e+00 8.601678406140214506e+00 -2.879549940186620915e-01 1.377361709789900424e+01 2.422657045474218407e+01
4.512500000000000538e-02 -5.946555939518248124e+00 9.071826515701216564e+00 -3.178954972787266797e-01 1.678337950102229215e+01 2.580226122764137386e+01
4.760000000000000342e-02 -6.330062766777700745e+00 9.545140589533193776e+00 -3.483855893940273063e-01 1.999920232702094225e+01 2.740265523694124283e+01
5.007500000000000145e-02 -6.707549827030334200e+00 1.002170847244392604e+01 -3.792745068098923866e-01 2.341868311476070730e+01 2.902671778223031396e+01
