# M_Msun R_km
2.549720505437376161e-01 1.000000009999483552e+02
2.548055467485746406e-01 1.000000009999483552e+02
2.546026904083961151e-01 1.000000009999483552e+02
2.543663421785276046e-01 1.000000009999483552e+02
2.540896929947110139e-01 1.000000009999483552e+02
2.537756867480830403e-01 1.000000009999483552e+02
2.534172430478699445e-01 1.000000009999483552e+02
2.530070406708453956e-01 1.000000009999483552e+02
2.525535145687318739e-01 1.000000009999483552e+02
2.520415061144116731e-01 1.000000009999483552e+02
2.514768580575110213e-01 1.000000009999483552e+02
2.508494773067221351e-01 1.000000009999483552e+02
2.501601433075464342e-01 1.000000009999483552e+02
2.494067941912562203e-01 1.000000009999483552e+02
2.485851002086859607e-01 1.000000009999483552e+02
2.476898434952570782e-01 1.000000009999483552e+02
2.467227284569450674e-01 1.000000009999483552e+02
2.456726268572498317e-01 1.000000009999483552e+02
2.445440582536062557e-01 1.000000009999483552e+02
2.433294825271558326e-01 1.000000009999483552e+02
2.420338996458898384e-01 1.000000009999483552e+02
2.406497368744312249e-01 1.000000009999483552e+02
2.391686402429963609e-01 1.000000009999483552e+02
2.376038341538166676e-01 1.000000009999483552e+02
2.359403924418244924e-01 1.000000009999483552e+02
2.341769586432433103e-01 1.000000009999483552e+02
2.323208215248880326e-01 1.000000009999483552e+02
2.303639827082482050e-01 1.000000009999483552e+02
2.283055567184790191e-01 1.000000009999483552e+02
2.261543929174369139e-01 1.000000009999483552e+02
2.239020568632297814e-01 1.000000009999483552e+02
2.215481796199144093e-01 1.000000009999483552e+02
2.190884264613077725e-01 1.000000009999483552e+02
2.165274451300262248e-01 1.000000009999483552e+02
2.138702317323946389e-01 1.000000009999483552e+02
2.111125519184134658e-01 1.000000009999483552e+02
2.082545408993732861e-01 1.000000009999483552e+02
2.052960884267893138e-01 1.000000009999483552e+02
2.022376067540718469e-01 1.000000009999483552e+02
1.990792642265476198e-01 1.000000009999483552e+02
1.958209588479261909e-01 1.000000009999483552e+02
1.924753088590218375e-01 1.000000009999483552e+02
1.890152444079241378e-01 1.000000009999483552e+02
1.854683354481738711e-01 1.000000009999483552e+02
1.817936613798576129e-01 1.000000009999483552e+02
1.780162800580929183e-01 1.000000009999483552e+02
1.741360923853825238e-01 1.000000009999483552e+02
1.701241524240520164e-01 1.000000009999483552e+02
1.660246328795625947e-01 1.000000009999483552e+02
1.618104440915350550e-01 1.000000009999483552e+02
1.575000662156821885e-01 1.000000009999483552e+02
1.531077296975401347e-01 1.000000009999483552e+02
1.486420107500334431e-01 1.000000009999483552e+02
1.441314038248981688e-01 1.000000009999483552e+02
1.396071865329521489e-01 1.000000009999483552e+02
1.350516015079525067e-01 1.000000009999483552e+02
1.304993069291983665e-01 1.000000009999483552e+02
1.259696201518111791e-01 1.000000009999483552e+02
1.214856278578613502e-01 1.000000009999483552e+02
1.170414197593403760e-01 1.000000009999483552e+02
1.126563448187806321e-01 1.000000009999483552e+02
1.083659380155280877e-01 1.000000009999483552e+02
1.041390737438394748e-01 1.000000009999483552e+02
9.994858793590682966e-02 1.000000009999483552e+02
9.575489066072515043e-02 1.000000009999483552e+02
9.160322124206318750e-02 1.000000009999483552e+02
8.761984026519818725e-02 1.000000009999483552e+02
8.382700386769885437e-02 1.000000009999483552e+02
8.026341112821192003e-02 1.000000009999483552e+02
7.690769083492743352e-02 1.000000009999483552e+02
7.375661420002120605e-02 1.000000009999483552e+02
7.082178669608789334e-02 1.000000009999483552e+02
6.807388494774814502e-02 1.000000009999483552e+02
6.554351575551067843e-02 1.000000009999483552e+02
6.322538286607592983e-02 1.000000009999483552e+02
6.102692188973416615e-02 1.000000009999483552e+02
5.902548230504679055e-02 1.000000009999483552e+02
5.733299636568887220e-02 1.000000009999483552e+02
5.597619337478203227e-02 1.000000009999483552e+02
5.489106236383327342e-02 1.000000009999483552e+02
5.407085167934885805e-02 1.000000009999483552e+02
5.349739427931437391e-02 1.000000009999483552e+02
5.317853002248470323e-02 1.000000009999483552e+02
5.306459778759528567e-02 1.000000009999483552e+02
5.320013676144199483e-02 1.000000009999483552e+02
5.362168237274659438e-02 1.000000009999483552e+02
5.427166566977512790e-02 1.000000009999483552e+02
5.511766080477248364e-02 1.000000009999483552e+02
5.614874999091321039e-02 1.000000009999483552e+02
5.733574434942736303e-02 1.000000009999483552e+02
5.865817089839170384e-02 1.000000009999483552e+02
6.009420765147747978e-02 8.297600099998803103e+01
6.161662977316396950e-02 6.790600100002315287e+01
6.320763990318364889e-02 5.771200100002457134e+01
6.485944537480339833e-02 5.041800100001565710e+01
6.656568425479400530e-02 4.489400100000890603e+01
6.832453161411358722e-02 4.060000100000365819e+01
7.013425622693318651e-02 3.717000099999946627e+01
7.199344996021685150e-02 3.436000099999603208e+01
7.390185466723335483e-02 3.202600099999317962e+01
7.585878660286322905e-02 3.005200099999422392e+01
7.786448981853574813e-02 2.837000099999515612e+01
7.991846042502528946e-02 2.691400099999596307e+01
8.202104650617109138e-02 2.565000099999666361e+01
8.417212504910782933e-02 2.454000099999727880e+01
8.637159529287168069e-02 2.355800099999782304e+01
8.861957229090813848e-02 2.268400099999830744e+01
9.091594132551383822e-02 2.189800099999874305e+01
9.326074907903961209e-02 2.119400099999913323e+01
9.565388299308273667e-02 2.055800099999948571e+01
9.809516986342393940e-02 1.998000099999980606e+01
1.005843654613540056e-01 1.945400100000009758e+01
1.031211379549648310e-01 1.897400100000036360e+01
1.057052084365200373e-01 1.853600100000060635e+01
1.083358776611395152e-01 1.813400100000082915e+01
1.110124113910578025e-01 1.776200100000103532e+01
1.137340842311365535e-01 1.741800100000122598e+01
1.165001327839978174e-01 1.710200100000140111e+01
1.193090873660353768e-01 1.680600100000156516e+01
1.221600082411618826e-01 1.653400100000171591e+01
1.250509705479233569e-01 1.628000100000185668e+01
1.279804380847173184e-01 1.604200100000198859e+01
1.309463497052580361e-01 1.582200100000195420e+01
1.339462311901196412e-01 1.561400100000188473e+01
1.369774956020925472e-01 1.542200100000182061e+01
1.400370549361240613e-01 1.524000100000175983e+01
1.431212797278683113e-01 1.507000100000170306e+01
1.462263517269403457e-01 1.491000100000164963e+01
1.493474631798488161e-01 1.476000100000159954e+01
1.524794466328784626e-01 1.461800100000155211e+01
1.556163439683795890e-01 1.448600100000150803e+01
1.587510788712932497e-01 1.436000100000146595e+01
1.618756514062405227e-01 1.424200100000142655e+01
1.649805284619846879e-01 1.413000100000138914e+01
1.680545871222408616e-01 1.402400100000135375e+01
1.710847506364953918e-01 1.392400100000132035e+01
1.740547970738214600e-01 1.383000100000128896e+01
1.769451021659920742e-01 1.374200100000125957e+01
1.797303106115851479e-01 1.365800100000123152e+01
1.823770805015387797e-01 1.358200100000120614e+01
1.848380811916854882e-01 1.350800100000118142e+01
1.870382231620344171e-01 1.344400100000116005e+01
1.888353768551892520e-01 1.338600100000114068e+01
1.899895247204188009e-01 1.334400100000112666e+01
1.907144079571077011e-01 1.331000100000111530e+01
1.912831797487848651e-01 1.327400100000110328e+01
1.917866790495414420e-01 1.323800100000109126e+01
1.922690370709563557e-01 1.320000100000107857e+01
1.927575696727016896e-01 1.315800100000106454e+01
1.932723673536202169e-01 1.311200100000104918e+01
1.938290918116973294e-01 1.306400100000103315e+01
1.944411791087292396e-01 1.301400100000101645e+01
1.951203563318970324e-01 1.295800100000099775e+01
1.958776425040559543e-01 1.290200100000097905e+01
1.967231429671288667e-01 1.284200100000095901e+01
